id|~|scan_date|~|ticker|~|scan_time_et|~|minutes_since_open|~|gap_pct|~|prev_close|~|adv|~|adv_source|~|in_active_theme|~|rank_by_prescore|~|rank_by_gap|~|shortlisted_by_prescore|~|shortlisted_by_gap|~|acting_key|~|board_n|~|created_at
73|~|2026-08-24|~|HVII|~|2026-08-24 12:30:00.034716+00|~||~|17.46|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:30:02.608618+00
69|~|2026-08-24|~|HVII|~|2026-08-24 12:25:00.018514+00|~||~|17.46|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:25:02.985528+00
65|~|2026-08-24|~|HVII|~|2026-08-24 12:20:00.032969+00|~||~|17.46|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:20:02.194415+00
61|~|2026-08-24|~|HVII|~|2026-08-24 12:15:00.019043+00|~||~|17.78|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:15:03.181709+00
57|~|2026-08-24|~|HVII|~|2026-08-24 12:10:00.024705+00|~||~|14.49|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:10:02.34655+00
53|~|2026-08-24|~|HVII|~|2026-08-24 12:05:00.027447+00|~||~|14.49|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:05:02.534044+00
48|~|2026-08-24|~|HVII|~|2026-08-24 12:00:00.019954+00|~||~|14.49|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|5|~|2026-08-24 12:00:03.356108+00
44|~|2026-08-24|~|HVII|~|2026-08-24 11:55:00.023419+00|~||~|14.49|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:55:02.421448+00
39|~|2026-08-24|~|HVII|~|2026-08-24 11:50:00.021621+00|~||~|14.49|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:50:02.744398+00
35|~|2026-08-24|~|HVII|~|2026-08-24 11:45:00.022675+00|~||~|17.15|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:45:02.251858+00
31|~|2026-08-24|~|HVII|~|2026-08-24 11:40:00.123047+00|~||~|18.4|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:40:02.362097+00
27|~|2026-08-24|~|HVII|~|2026-08-24 11:35:00.032736+00|~||~|18.4|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:35:02.036479+00
