ticker|alert_date|ruleset|score_tier_stored|score_lo|score_hi|admit|status|reason|entered|entry_px|stop|target|partial_fired|final_reason|realized_r|gap_through|day0_missing_minutes|sessions_abstained
PWR|2026-07-30|era_c_partial_8r|HIGH|90.0|90.0|admit|settled||True|670.0|625.05|854.0|False|sma_trail_stop|0.061846496106784644|False|0|0
SIMO|2026-07-30|era_c_partial_8r|HIGH|90.0|90.0|admit|no_entry|never_crossed_orb_high|False||226.77999999999997||False|||False|0|0
BLZE|2026-07-31|era_c_partial_8r|HIGH|105.0|105.0|admit|no_trade|window_out_of_orb|False||13.22||False|||False||0
COHU|2026-07-31|era_c_partial_8r|HIGH|90.0|90.0|admit|no_entry|never_crossed_orb_high|False||49.13999999999999||False|||False|6|0
FET|2026-07-31|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|61.42|60.72|64.22000000000001|True|stop_hit|1.3333333333333335|False|174|0
FLNC|2026-07-31|era_c_partial_8r|HIGH|90.0|90.0|admit|no_entry|never_crossed_orb_high|False||13.895||False|||False|0|0
MPWR|2026-07-31|era_c_partial_8r|HIGH|90.0|90.0|admit|settled||True|1522.57|1444.8200000000002|1863.8499999999988|False|stop_hit|-1.0102893890675264|True|0|0
NWL|2026-07-31|era_c_partial_8r|HIGH|90.0|90.0|admit|settled||True|6.66|6.279999999999999|8.180000000000003|False|stop_hit|-1.0|False|0|0
FTK|2026-08-03|era_c_partial_8r|HIGH|90.0|90.0|admit|settled||True|25.16|23.919999999999998|30.120000000000008|True|stop_hit|6.2752688172042905|False|101|0
LIND|2026-08-03|era_c_partial_8r|HIGH|46.2|52.5|reject|no_trade|window_out_of_orb|False||30.31||False|||False||0
AEIS|2026-08-04|era_c_partial_8r|HIGH|67.5|75.0|admit|no_entry|never_crossed_orb_high|False||307.58019999999993||False|||False|4|0
AMRC|2026-08-04|era_c_partial_8r|HIGH|27.5|33.8|reject|no_trade|window_out_of_orb|False||30.07||False|||False||0
BLZE|2026-08-04|era_c_partial_8r|HIGH|90.0|90.0|admit|settled||True|21.7499|18.450100000000003|34.94909999999999|False|stop_hit|-1.0|False|0|0
BTDR|2026-08-04|era_c_partial_8r|HIGH|90.0|90.0|admit|settled||True|12.85|12.110000000000001|15.809999999999993|False|stop_hit|-1.0|False|0|0
CAT|2026-08-04|era_c_partial_8r|HIGH|90.0|90.0|admit|no_entry|never_crossed_orb_high|False||905.0006||False|||False|0|0
INSP|2026-08-04|era_c_partial_8r|MODERATE|40.0|46.2|reject|no_trade|window_out_of_orb|False||60.81||False|||False||0
LIFE|2026-08-04|era_c_partial_8r|HIGH|90.0|90.0|admit|no_entry|never_crossed_orb_high|False||25.869999999999997||False|||False|0|0
PLTR|2026-08-04|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|148.63|137.93|191.42999999999995|False|stop_hit|2.041214953271031|False|0|0
TSAT|2026-08-04|era_c_partial_8r|HIGH|90.0|90.0|admit|no_trade|window_out_of_orb|False||42.08||False|||False||0
VOYG|2026-08-04|era_c_partial_8r|HIGH|90.0|90.0|admit|no_trade|setup:zero_range|False||||False|||False||0
ZBRA|2026-08-04|era_c_partial_8r|HIGH|90.0|90.0|admit|settled||True|345.6|313.475|474.62|False|stop_hit|0.6592684824902716|False|6|0
APPS|2026-08-05|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|13.15|10.65|23.15|False|sma_trail_stop|-0.3640000000000001|False|0|0
ECG|2026-08-05|era_c_partial_8r|HIGH|105.0|105.0|admit|no_trade|window_out_of_orb|False||142.99999999999997||False|||False||0
