ticker|ep_date|fire_date|mon|variant|entry|stop|stop_w|mature|derived_touch|pre_fire_hole|status|reason|outcome|realized_r|outcome_trail|realized_r_trail|mfe_r|mae_r|reached_4r
AMBQ|2026-05-12|2026-05-13|2026-05|f_ep_low|66.59|53.14|20.198227962156484|True|False|False|settled||time_exit|1.2491|trail_exit|0.8037|1.4257|-0.281|False
AMLX|2026-08-18|2026-08-19|2026-08|a_prior_low|35.39|28.0|20.88160497315626|False|True|False|abstain|window_open|||||||
AMLX|2026-08-18|2026-08-19|2026-08|b_break_bar|35.39|35.3207|0.19581802769143364|False|True|False|settled||stop|-1.0|stop|-1.0|82.9726|-13.2035|True
AMLX|2026-08-18|2026-08-19|2026-08|c_lod_at_fire|35.39|35.3207|0.19581802769143364|False|True|False|settled||stop|-1.0|stop|-1.0|82.9726|-13.2035|True
AMLX|2026-08-18|2026-08-19|2026-08|d_adr_025|35.39|34.814414086397534|1.626408345867383|False|True|False|settled||stop|-1.0|stop|-1.0|9.9898|-1.5897|True
AMLX|2026-08-18|2026-08-19|2026-08|d_adr_050|35.39|34.23882817279507|3.252816691734766|False|True|False|settled||stop|-1.0|trail_exit|-0.5646|4.9949|-2.0935|True
AMLX|2026-08-18|2026-08-19|2026-08|d_adr_075|35.39|33.6632422591926|4.879225037602149|False|True|False|settled||stop|-1.0|trail_exit|-0.3764|3.3299|-1.3957|False
AMLX|2026-08-18|2026-08-19|2026-08|d_adr_100|35.39|33.08765634559013|6.505633383469532|False|True|False|settled||stop|-1.0|trail_exit|-0.2823|2.4975|-1.0468|False
AMLX|2026-08-18|2026-08-19|2026-08|e_ep_close|35.39|35.11|0.7911839502684407|False|True|False|settled||stop|-1.0|stop|-1.0|20.5357|-3.2679|True
AMLX|2026-08-18|2026-08-19|2026-08|f_ep_low|35.39|28.0|20.88160497315626|False|True|False|abstain|window_open|||||||
ARM|2026-05-20|2026-05-21|2026-05|a_prior_low|259.44|226.085|12.856537156953435|True|True|False|settled||time_exit|4.4455|trail_exit|2.5031|5.794|0.1967|True
ARM|2026-05-20|2026-05-21|2026-05|b_break_bar|259.44|266.0001|-2.5285615171137747|True|True|False|killed_entry_le_stop||||||||
ARM|2026-05-20|2026-05-21|2026-05|c_lod_at_fire|259.44|266.0001|-2.5285615171137747|True|True|False|killed_entry_le_stop||||||||
ARM|2026-05-20|2026-05-21|2026-05|d_adr_025|259.44|255.0468604470078|1.693316201430855|True|True|False|settled||time_exit|33.7526|trail_exit|19.0046|43.9913|1.4933|True
ARM|2026-05-20|2026-05-21|2026-05|d_adr_050|259.44|250.6537208940156|3.3866324028616988|True|True|False|settled||time_exit|16.8763|trail_exit|9.5023|21.9957|0.7466|True
ARM|2026-05-20|2026-05-21|2026-05|d_adr_075|259.44|246.2605813410234|5.079948604292554|True|True|False|settled||time_exit|11.2509|trail_exit|6.3349|14.6638|0.4978|True
ARM|2026-05-20|2026-05-21|2026-05|d_adr_100|259.44|241.8674417880312|6.773264805723408|True|True|False|settled||time_exit|8.4382|trail_exit|4.7512|10.9978|0.3733|True
ARM|2026-05-20|2026-05-21|2026-05|e_ep_close|259.44|256.73|1.044557508479795|True|True|False|settled||time_exit|54.7159|trail_exit|30.8081|71.3137|2.4207|True
ARM|2026-05-20|2026-05-21|2026-05|f_ep_low|259.44|226.085|12.856537156953435|True|True|False|settled||time_exit|4.4455|trail_exit|2.5031|5.794|0.1967|True
ASAN|2026-05-29|2026-06-01|2026-05|a_prior_low|7.95|7.0|11.949685534591197|True|True|False|settled||stop|-1.0|trail_exit|-0.4316|1.4631|-1.1947|False
ASAN|2026-05-29|2026-06-01|2026-05|b_break_bar|7.95|8.42|-5.911949685534588|True|True|False|killed_entry_le_stop||||||||
ASAN|2026-05-29|2026-06-01|2026-05|c_lod_at_fire|7.95|8.42|-5.911949685534588|True|True|False|killed_entry_le_stop||||||||
ASAN|2026-05-29|2026-06-01|2026-05|d_adr_025|7.95|7.824584589151119|1.5775523377217788|True|True|False|settled||stop|-1.0|stop|-1.0|11.0824|-3.2683|True
ASAN|2026-05-29|2026-06-01|2026-05|d_adr_050|7.95|7.6991691783022365|3.1551046754435688|True|True|False|settled||stop|-1.0|stop|-1.0|5.5412|-1.6342|False
ASAN|2026-05-29|2026-06-01|2026-05|d_adr_075|7.95|7.573753767453355|4.732657013165347|True|True|False|settled||stop|-1.0|stop|-1.0|3.6941|-1.0894|False
ASAN|2026-05-29|2026-06-01|2026-05|d_adr_100|7.95|7.448338356604474|6.310209350887126|True|True|False|settled||stop|-1.0|stop|-1.0|2.7706|-1.5648|False
ASAN|2026-05-29|2026-06-01|2026-05|e_ep_close|7.95|7.7|3.1446540880503147|True|True|False|settled||stop|-1.0|stop|-1.0|5.5596|-1.6396|False
ASAN|2026-05-29|2026-06-01|2026-05|f_ep_low|7.95|7.0|11.949685534591197|True|True|False|settled||stop|-1.0|trail_exit|-0.4316|1.4631|-1.1947|False
AUGO|2026-06-15|2026-06-17|2026-06|a_prior_low|69.9899|66.25|5.343485274303871|True|False|False|settled||stop|-1.0|stop|-1.0|0.2808|-1.0816|False
AUGO|2026-06-15|2026-06-17|2026-06|b_break_bar|69.9899|69.58|0.5856559303556762|True|False|False|settled||stop|-1.0|stop|-1.0|-0.3169|-1.6343|False
AUGO|2026-06-15|2026-06-17|2026-06|c_lod_at_fire|69.9899|66.43|5.0863053097661215|True|False|False|settled||stop|-1.0|stop|-1.0|0.295|-1.0112|False
AUGO|2026-06-15|2026-06-17|2026-06|d_adr_025|69.9899|69.02633968455953|1.3767133764164183|True|False|False|settled||stop|-1.0|stop|-1.0|1.0898|-1.4684|False
AUGO|2026-06-15|2026-06-17|2026-06|d_adr_050|69.9899|68.06277936911904|2.753426752832857|True|False|False|settled||stop|-1.0|stop|-1.0|0.5449|-1.0585|False
AUGO|2026-06-15|2026-06-17|2026-06|d_adr_075|69.9899|67.09921905367857|4.130140129249275|True|False|False|settled||stop|-1.0|stop|-1.0|0.3633|-1.0343|False
AUGO|2026-06-15|2026-06-17|2026-06|d_adr_100|69.9899|66.13565873823808|5.506853505665714|True|False|False|settled||stop|-1.0|stop|-1.0|0.2725|-1.0495|False
AUGO|2026-06-15|2026-06-17|2026-06|e_ep_close|69.9899|66.18|5.443499704957428|True|False|False|settled||stop|-1.0|stop|-1.0|0.2756|-1.0617|False
AUGO|2026-06-15|2026-06-17|2026-06|f_ep_low|69.9899|65.77|6.029298513071185|True|False|False|settled||stop|-1.0|trail_exit|-0.9502|0.2488|-1.8958|False
CAI|2026-08-06|2026-08-07|2026-08|a_prior_low|20.11|17.945|10.76578816509199|False|True|False|abstain|window_open|||||||
CAI|2026-08-06|2026-08-07|2026-08|b_break_bar|20.11|20.1201|-0.050223769269027004|False|True|False|killed_entry_le_stop||||||||
CAI|2026-08-06|2026-08-07|2026-08|c_lod_at_fire|20.11|20.1201|-0.050223769269027004|False|True|False|killed_entry_le_stop||||||||
CAI|2026-08-06|2026-08-07|2026-08|d_adr_025|20.11|19.846888464339944|1.3083616890107177|False|True|False|abstain|window_open|||||||
CAI|2026-08-06|2026-08-07|2026-08|d_adr_050|20.11|19.583776928679885|2.6167233780214527|False|True|False|abstain|window_open|||||||
CAI|2026-08-06|2026-08-07|2026-08|d_adr_075|20.11|19.32066539301983|3.9250850670321706|False|True|False|abstain|window_open|||||||
CAI|2026-08-06|2026-08-07|2026-08|d_adr_100|20.11|19.057553857359775|5.233446756042888|False|True|False|abstain|window_open|||||||
CAI|2026-08-06|2026-08-07|2026-08|e_ep_close|20.11|20.0|0.5469915464942786|False|True|False|abstain|window_open|||||||
CAI|2026-08-06|2026-08-07|2026-08|f_ep_low|20.11|17.945|10.76578816509199|False|True|False|abstain|window_open|||||||
CLF|2026-07-23|2026-07-24|2026-07|a_prior_low|11.465|10.6|7.544701264718712|True|True|False|settled||stop|-1.0|trail_exit|0.5029|1.6069|-1.2081|False
