193	2026-06-04	9.43	10.54	8.165	8.18
201	2026-06-08	16.725	18.2	15.36	15.64
207	2026-06-10	32.07	33.78	30.09	30.15
207	2026-06-11	30.19	33.45	29.635	33.27
208	2026-06-11	24.25	24.5	22.03	22.63
221	2026-06-17	43.55	49.7	42.5	48.16
221	2026-06-18	48.875	50.08	45.76	46.29
221	2026-06-22	46.29	48.06	43.84	44.39
221	2026-06-23	44.47	49.58	44.47	49.04
221	2026-06-24	49.8	50.05	47.02	48.85
221	2026-06-25	49.28	50.47	48.355	49.1
221	2026-06-26	49.23	49.7	46.17	47.51
221	2026-06-29	48.41	49.69	47.07	47.39
221	2026-06-30	47	47.62	45.76	46.06
221	2026-07-01	46.2	47.555	45.12	45.17
221	2026-07-02	45.99	46.095	41.15	41.81
223	2026-06-17	412.36	428.9322	374.11	374.98
228	2026-06-22	95	101.705	95	100.32
228	2026-06-23	97.72	102.06	95.31	97.05
228	2026-06-24	83.22	88.15	81.65	86.24
245	2026-07-06	24.15	25.15	22.01	22.21
250	2026-07-10	70.66	72.855	65.07	66.14
251	2026-07-10	292.093	298.899	261.4898	264.91
258	2026-07-14	271.5	274	252.01	255.49
261	2026-07-15	118.75	129.8	118	123.7
261	2026-07-16	123.12	125.165	104.46	105.83
266	2026-07-20	101.51	107	99.1	100.93
271	2026-07-22	28.89	32.2844	28.5	30.56
271	2026-07-23	30.33	32.585	30.18	31.2
271	2026-07-24	30.62	31.33	29.275	30.1
271	2026-07-27	30.6	30.94	28.5	29.81
273	2026-07-23	18	20.55	18	19.99
273	2026-07-24	20.68	21.4506	17.6	17.65
275	2026-07-24	235.01	246.815	229.3675	233.2
276	2026-07-24	39.995	41.2	37.81	38.14
279	2026-07-27	17.86	19.54	17.75	19.51
279	2026-07-28	18.65	18.89	17.26	17.635
