=== CONTROL_TICK ===
scan_date|ticker|dist_sec|minutes_since_open|gap_pct|prev_close|rel_volume|today_volume|adv|market_cap|float_shares|ep_score|filter_reason
2026-08-04|AMRC|0.028431|1|40.78|22.73|0.24||568592.4743995001|||38|score 38 < 50 (catalyst=routine)
2026-08-04|ARVN|1140.056009|20|13.21|8.06|0.26||643072.7823055|||35|score 35 < 50 (catalyst=routine)
2026-08-04|BLZE|0.028431|1|23.35|15.59|0.05||2643706.7172405||||already scored earlier today
2026-08-04|BTDR|840.045150|15|12.49|11.37|0.37||9828824.3525755||||already scored earlier today
2026-08-04|CAT|0.028431|1|12.53|830.03|0.09||3449799.303477||||already scored earlier today
2026-08-04|COHR|0.028431|1|15.66|288.14|0.25||5331519.679161|||20|score 20 < 50 (catalyst=routine)
2026-08-04|DORM|1140.056009|20|15.13|127.68|0.35||270042.2984335|||37|score 37 < 50 (catalyst=routine)
2026-08-04|EWTX|1140.056009|20|11.4|38.38|0.13||1068392.0006610001||||outside top-20 gap cap (gap 11.4%)
2026-08-04|FN|0.028431|1|15.15|455.94|0.03||877842.1494440001|||33|score 33 < 50 (catalyst=routine)
2026-08-04|IBTA|0.028431|1|26.08|24.58|0.05||172799.6726715|||30|score 30 < 50 (catalyst=routine)
2026-08-04|INSP|0.028431|1|18.71|52.22|0.01||968127.139957||||pre-mkt volume 10,053 < 25,000 shares
2026-08-04|LIFE|0.028431|1|24.75|22.83|0.08||667395.2369735||||already scored earlier today
2026-08-04|LITE|359.961676||12.42|779.89|0.14||4538375.875136|||15|score 15 < 50 (catalyst=routine)
2026-08-04|LWLG|0.028431|1|15.09|6.82|0.09||3726587.667033|||35|score 35 < 50 (catalyst=routine)
2026-08-04|MED|0.028431|1|18.69|9.74|0.02||203257.23800950003||||pre-mkt volume 3,997 < 25,000 shares
2026-08-04|PAY|840.045150|15|15.32|34.52|0.01||1155710.203319||||filter:session_rvol_too_low: session_rvol=0.41x (today 10,151 / baseline 24,694 n=22) < 1.0x
2026-08-04|PLTR|0.028431|1|15.78|125.65|0.17||40187142.342946||||already scored earlier today
2026-08-04|POET|0.028431|1|15.08|7.36|0.25||14151322.8765555|||35|score 35 < 50 (catalyst=routine)
2026-08-04|TSAT|1440.048389|25|14.46|40.18|0.34||210006.3550345|||60|
2026-08-04|UFPT|0.028431|1|11.2|267.53|0.01||218362.4768665||||filter:session_rvol_too_low: session_rvol=0.47x (today 1,116 / baseline 2,400 n=20) < 1.0x
2026-08-04|VOYG|0.028431|1|20.31|28.01|0.04||1657392.0414715||||already scored earlier today
2026-08-04|W|0.028431|1|17.97|89.31|0.32||3288771.239523|||5|score 5 < 50 (catalyst=routine)
2026-08-04|WGS|0.028431|1|14.07|67.86|0.04||806965.07687|||10|score 10 < 50 (catalyst=routine)
2026-08-04|WIX|7559.980495||14.36|56.84|0.03||1338219.1547005|||35|score 35 < 50 (catalyst=routine)
