WSHP|2026-04-16|55|-0.5704|0.6948|2026-05-15
JLHL|2026-04-21|60|0.0037|0.3551|2026-06-05
BTM|2026-04-21|74|-0.1521|0.1690|2026-06-05
POET|2026-04-22|53|-0.4273|0.3449|2026-06-05
HCAI|2026-04-22|51|-0.3669|0.1516|2026-06-05
MXL|2026-04-24|59|0.4293|0.4826|2026-06-05
SILC|2026-05-05|50|-0.0681|0.0747|2026-06-05
ERNA|2026-05-07|64|0.3736|1.2816|2026-06-05
BRUNW|2026-05-15|72|-0.2128|0.2422|2026-06-12
AKTX|2026-05-22|68|0.3538|1.9556|2026-06-18
AKAN|2026-05-22|73|-0.3939|0.0657|2026-06-18
SIDU|2026-05-27|72|-0.3654|0.0044|2026-06-26
MX|2026-05-29|58|-0.1348|0.2310|2026-06-26
BGDE|2026-06-18|52|-0.2177|0.0428|2026-07-17
SKYQ|2026-07-24|66|-0.2824|0.0802|2026-08-21
WYHG|2026-08-11|71|-0.3549|0.1731|2026-09-10
FIEE|2026-08-17|51|-0.2171|0.0649|2026-09-16
AEHL|2026-09-03|53|-0.0298|0.1789|2026-09-17
