ticker	d	scan_n	reasons	max_score
SDOT	2026-07-27	21	filter:pm_rvol_too_low: pm_rvol=0.06x (today 30,185 / baseline 473,595 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.06x (today 30,185 / baseline 484,810 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.06x (today 31,508 / baseline 494,262 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.06x (today 31,508 / baseline 503,648 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.06x (today 31,508 / baseline 512,530 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.06x (today 33,082 / baseline 518,899 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.07x (today 28,265 / baseline 388,448 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.07x (today 28,871 / baseline 407,977 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.07x (today 29,817 / baseline 436,631 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.07x (today 30,185 / baseline 455,989 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.07x (today 34,324 / baseline 527,728 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.08x (today 27,560 / baseline 330,340 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.08x (today 28,265 / baseline 356,962 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.09x (today 26,438 / baseline 291,414 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.09x (today 27,382 / baseline 313,196 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.10x (today 25,746 / baseline 250,998 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.11x (today 25,126 / baseline 232,384 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.12x (today 25,126 / baseline 204,450 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.13x (today 23,353 / baseline 177,266 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.14x (today 23,353 / baseline 170,370 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.08x (today 63,126 / baseline 771,689 n=22) < 1.0x	""
AWI	2026-07-28	1	score 30 < 50 (catalyst=routine)	30
CORZ	2026-07-28	1	<none>	72
KNSA	2026-07-28	8	score 20 < 50 (catalyst=routine) ;; score 35 < 50 (catalyst=routine) ;; score 42 < 50 (catalyst=routine)	42
QMLS	2026-07-28	1	quality filter: filter:adv_no_data	""
RGEN	2026-07-28	1	filter:session_rvol_too_low: session_rvol=0.90x (today 101,150 / baseline 111,843 n=20) < 1.0x	""
SLDB	2026-07-28	0	""	""
TRU	2026-07-28	0	""	""
AIAI	2026-07-29	1	quality filter: filter:atr_too_high: 21.3% > 15.0%	""
ALOY	2026-07-29	1	EP cooldown — alerted within last 60 days	""
ANIK	2026-07-29	27	quality filter: filter:adv_too_low: $858,542	""
APUS	2026-07-29	7	quality filter: filter:adv_too_low: $67,473	""
AXGN	2026-07-29	0	""	""
BCAR	2026-07-29	0	""	""
CBZ	2026-07-29	19	score 10 < 50 (catalyst=routine) ;; score 18 < 50 (catalyst=routine) ;; score 25 < 50 (catalyst=routine)	25
CLW	2026-07-29	2	quality filter: filter:mcap_too_small: $316M < $500M	""
GRMN	2026-07-29	1	score 22 < 50 (catalyst=routine)	22
HQ	2026-07-29	0	""	""
HURN	2026-07-29	2	filter:session_rvol_too_low: session_rvol=0.78x (today 18,516 / baseline 23,742 n=20) < 1.0x ;; score 37 < 50 (catalyst=routine)	37
INVX	2026-07-29	7	filter:session_rvol_too_low: session_rvol=0.02x (today 180 / baseline 11,301 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.02x (today 180 / baseline 8,124 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.02x (today 180 / baseline 9,588 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.03x (today 180 / baseline 6,449 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.03x (today 180 / baseline 6,778 n=20) < 1.0x ;; pre-mkt volume 180 < 25,000 shares	""
IPCX	2026-07-29	3	quality filter: filter:adv_too_low: $522,205	""
MASS	2026-07-29	0	""	""
MBIN	2026-07-29	1	score 27 < 50 (catalyst=routine)	27
MPLT	2026-07-29	1	quality filter: filter:atr_too_high: 35.4% > 15.0%	""
QUAD	2026-07-29	2	outside top-20 gap cap (gap 10.0%) ;; quality filter: filter:mcap_too_small: $487M < $500M	""
SILC	2026-07-29	18	quality filter: filter:mcap_too_small: $219M < $500M	""
WATT	2026-07-29	1	filter:pm_rvol_too_low: pm_rvol=0.44x (today 998 / baseline 2,253 n=16) < 1.0x	""
ABTC	2026-07-30	0	""	""
AIP	2026-07-30	0	""	""
AMRC	2026-07-30	0	""	""
ANIK	2026-07-30	0	""	""
ASBP	2026-07-30	1	outside top-20 gap cap (gap 11.4%)	""
AVY	2026-07-30	9	outside top-20 gap cap (gap 10.1%) ;; outside top-20 gap cap (gap 11.3%) ;; outside top-20 gap cap (gap 11.8%) ;; score 15 < 50 (catalyst=routine)	15
BAX	2026-07-30	31	outside top-20 gap cap (gap 16.0%) ;; score 0 < 50 (catalyst=routine) ;; score 12 < 50 (catalyst=routine) ;; score 17 < 50 (catalyst=routine) ;; score 5 < 50 (catalyst=routine)	17
BDC	2026-07-30	6	outside top-20 gap cap (gap 10.5%) ;; score 28 < 50 (catalyst=routine)	28
BIYA	2026-07-30	4	filter:pm_rvol_too_low: pm_rvol=0.12x (today 326,169 / baseline 2,607,444 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.13x (today 342,073 / baseline 2,654,359 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.13x (today 355,769 / baseline 2,694,775 n=20) < 1.0x ;; outside top-20 gap cap (gap 10.1%)	""
CBRS	2026-07-30	0	""	""
CHRN	2026-07-30	0	""	""
COHU	2026-07-30	0	""	""
CVI	2026-07-30	1	outside top-20 gap cap (gap 10.4%)	""
DBGI	2026-07-30	0	""	""
ECG	2026-07-30	2	outside top-20 gap cap (gap 10.2%) ;; outside top-20 gap cap (gap 11.2%)	""
EME	2026-07-30	27	already scored earlier today ;; filter:session_rvol_too_low: session_rvol=0.34x (today 4,319 / baseline 12,801 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.35x (today 5,570 / baseline 15,839 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.47x (today 4,319 / baseline 9,152 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.71x (today 4,319 / baseline 6,057 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.78x (today 4,319 / baseline 5,541 n=21) < 1.0x ;; <none> ;; outside top-20 gap cap (gap 16.9%)	60
EROC	2026-07-30	1	outside top-20 gap cap (gap 11.1%)	""
