6	KURA	9.495	9.495	9.57	3	f	f	0	[{"pnl": 20.919999999999554, "time": "2026-04-21T16:32:41.872079", "price": 9.58, "reason": "stop_hit", "shares": 2092.0, "source": "websocket", "attempt": 1}]
17	BSX	65.57	65.57	65.57	0	f	f	0	[{"at": "2026-04-23T15:49:04Z", "qty": 201, "price": 65.49, "reason": "manual_exit_bracket_bug"}]
26	INTC	82.022	82.022	82.022	0	f	f	0	[{"pnl": -477.34, "time": "2026-04-24 15:47:44.184025+00", "price": 82.022, "reason": "stop_hit", "shares": 237, "source": "manual_cleanup_2026-04-24_oto_id_bug", "attempt": 1}]
34	OMCL	45	45	45	0	f	f	0	[{"pnl": -1078.9502400000015, "time": "2026-04-28T13:36:08.363775", "price": 43.5, "reason": "stop_hit", "shares": 432.0, "source": "websocket", "attempt": 1}, {"pnl": -427.68000000000086, "time": "2026-04-28T14:13:09.359857", "price": 45.01, "reason": "stop_hit", "shares": 432.0, "source": "websocket", "attempt": 2}]
56	GOOGL	379.43	379.43	395.87	17	t	t	0	[{"pnl": 184.10999999999973, "time": "2026-05-06T13:31:18.569559", "price": 393.44, "reason": "partial_profit", "shares": 17, "order_id": "5073291f-4522-4d6c-91d5-37156457dffc"}, {"pnl": 434.85999999999876, "time": "2026-05-19T13:30:15.667171", "price": 395.4, "reason": "stop_hit", "shares": 34.0, "source": "websocket", "attempt": 1}]
57	TEAM	82.79	82.79	85.19	4	t	t	0	[{"pnl": -595.8099099999986, "time": "2026-05-01T14:21:05.211477", "price": 82.55821, "reason": "stop_hit", "shares": 229.0, "source": "websocket", "attempt": 1}, {"pnl": 328.32000000000056, "time": "2026-05-06T13:32:20.299374", "price": 89.51, "reason": "partial_profit", "shares": 76, "order_id": "9c2d2250-4d77-4910-b888-71730efcc267"}, {"pnl": -1.53, "time": "2026-05-06T13:51:08", "price": 85.18, "reason": "stop_hit", "shares": 153, "source": "backfill_5_07", "attempt": 2, "order_id": "3069e3fe-8283-4b42-b704-890bbfdf9720"}]
72	FTRE	13.96	13.96	14.31	6	t	t	0	[{"pnl": 193.61999999999998, "time": "2026-05-11T13:32:45.193550", "price": 14.73, "reason": "partial_profit", "shares": 461, "order_id": "fc255617-7209-471c-8110-b8da223d0980"}, {"pnl": -55.38000000000046, "time": "2026-05-12T13:41:55.999544", "price": 14.25, "reason": "stop_hit", "shares": 923.0, "source": "websocket", "attempt": 1}]
81	AMD	405.63	405.63	405.63	0	f	f	0	[{"pnl": -460.9499040000019, "time": "2026-05-06T14:19:50.400826", "price": 405.571043, "reason": "stop_hit", "shares": 48.0, "source": "websocket", "attempt": 1}, {"pnl": -370.53000000000065, "time": "2026-05-07T16:07:41.865061", "price": 405.59, "reason": "stop_hit", "shares": 48.0, "source": "websocket", "attempt": 2}]
82	SMCI	31.26	31.26	32.567614	5	t	t	0	[{"pnl": -720.7695360000012, "time": "2026-05-06T13:35:41.604111", "price": 31.228448, "reason": "stop_hit", "shares": 612.0, "source": "websocket", "attempt": 1}, {"pnl": 82.13692800000084, "time": "2026-05-12T13:34:43.472983", "price": 32.970246, "reason": "partial_profit", "shares": 204, "order_id": "4baad913-cee0-44b7-90a2-d70eb7812df4"}, {"pnl": -0.7066559999987589, "time": "2026-05-12T13:56:55.847113", "price": 32.565882, "reason": "stop_hit", "shares": 408.0, "source": "websocket", "attempt": 2}]
119	BW	16.49	16.49	17.05	15	t	t	0	[{"pnl": 728.6401170000004, "time": "2026-05-15T13:33:38.030906", "price": 18.932791, "reason": "partial_profit", "shares": 387, "order_id": "9bfeff93-eb57-4109-8fed-256c9451c891"}, {"pnl": 1763.84024, "time": "2026-05-27T13:37:08.289141", "price": 19.32299, "reason": "sma_trail_stop", "shares": 776, "order_id": "db11453b-4196-4150-898d-4945e16e6257"}]
120	MRAM	34.07	34.07	34.07	0	f	f	0	[{"pnl": -1101.9297760000013, "time": "2026-05-11T13:42:02.739966", "price": 33.890096, "reason": "stop_hit", "shares": 419.0, "source": "websocket", "attempt": 1}, {"pnl": -1097.7799999999988, "time": "2026-05-11T13:59:15.309119", "price": 33.88, "reason": "stop_hit", "shares": 419.0, "source": "websocket", "attempt": 2}]
136	KLAR	15.18	15.18	15.18	0	f	f	0	[{"pnl": -914.2799999999997, "time": "2026-05-14T13:43:04.161118", "price": 15.16, "reason": "stop_hit", "shares": 1203, "source": "websocket", "attempt": 1, "order_id": "49fd80cc-05c6-42c9-8b3e-3b2b190392d8"}]
138	CSCO	115.03	115.03	115.03	0	f	f	0	[{"pnl": -406.499958, "time": "2026-05-14T13:58:53.189985", "price": 115.040741, "reason": "stop_hit", "shares": 162, "source": "websocket", "attempt": 1, "order_id": "6c094f99-db84-4827-9554-d5dd1c80670c"}]
149	KLAR	14.96	15.74	14.96	0	f	f	0	[{"pnl": -854.3201100000002, "time": "2026-05-15T15:43:36.107406", "price": 14.924397, "reason": "stop_hit", "shares": 721.0, "source": "websocket", "attempt": 1}]
161	PURR	7.2	7.86	8.05	7	t	t	0	[{"pnl": 142.32987599999967, "time": "2026-05-27T13:37:42.548242", "price": 8.500411, "reason": "partial_profit", "shares": 316, "order_id": "b119c622-f227-459d-82bd-a55f042d5cca"}, {"pnl": -139.04000000000042, "time": "2026-05-28T13:31:42.455217", "price": 7.83, "reason": "stop_hit", "shares": 632.0, "source": "websocket", "attempt": 1}]
163	ROIV	29.35	31.8502	29.35	1	f	f	0	[{"pnl": -862.090086000001, "time": "2026-05-26T19:08:00.492707", "price": 29.325699, "reason": "stop_hit", "shares": 286.0, "source": "websocket", "attempt": 1}]
164	RLAY	14.8	14.8	14.8	0	f	f	0	[{"pnl": -642.5502080000006, "time": "2026-05-21T13:40:57.233343", "price": 14.77, "reason": "stop_hit", "shares": 1216.0, "source": "websocket", "attempt": 1}]
167	IBM	230.94	260.03	263.17	18	t	t	0	[{"pnl": 226.37230399999999, "time": "2026-05-29T15:59:33.473017", "price": 291.465, "reason": "partial_profit", "shares": 8, "order_id": "ca4f0c9c-94f7-4897-9f78-653ccdb0f1dc"}, {"pnl": 169.9676820000003, "time": "2026-06-10T13:33:41.050709+00:00", "price": 272.611111, "reason": "sma_trail_stop", "shares": 18, "order_id": "d945b09d-62d1-44b6-96b6-f0bc9cdd8ff2"}]
171	DY	535.5	535.5	535.5	0	f	f	0	[{"pnl": -438.24000000000285, "time": "2026-05-27T15:33:49.537484", "price": 533.18, "reason": "stop_hit", "shares": 33.0, "source": "websocket", "attempt": 1}]
172	CRSR	8.4	8.4	8.77	9	t	t	0	[{"pnl": 1394.146397999999, "time": "2026-06-01T16:19:09.426173", "price": 10.79, "reason": "partial_profit", "shares": 691, "order_id": "2af6d59f-77f6-4c56-b724-b726d7b4e10d"}, {"pnl": -3.3472040000014296, "time": "2026-06-08T19:22:50.746644+00:00", "price": 8.77, "reason": "stop_hit", "shares": 1382.0, "source": "websocket", "attempt": 1}]
177	RCAT	11.955	11.955	12.57	7	t	t	0	[{"pnl": 1175.7900000000002, "time": "2026-06-01T17:15:10.820403", "price": 14.88, "reason": "partial_profit", "shares": 509, "order_id": "b533862e-b546-4d65-915c-2fed921e5bda"}, {"pnl": -10.199999999999783, "time": "2026-06-05T16:42:53.983338", "price": 12.56, "reason": "stop_hit", "shares": 1020.0, "source": "websocket", "attempt": 1}]
180	DELL	416.98	416.98	416.98	0	f	f	0	[{"pnl": -271.92003000000125, "time": "2026-05-29T13:46:14.418213", "price": 415.201304, "reason": "stop_hit", "shares": 46.0, "source": "websocket", "attempt": 1}]
183	FPS	47.65	52.67	59.69	23	t	f	0	[{"pnl": 159.77693200000002, "time": "2026-06-25T13:43:28.150011+00:00", "price": 59.5, "reason": "stop_hit", "shares": 28.0, "source": "websocket", "attempt": 1}]
191	NVTS	30.55	30.55	30.55	0	f	f	0	[{"pnl": -830.1402160000002, "time": "2026-06-03T13:49:07.660729", "price": 30.476487, "reason": "stop_hit", "shares": 632.0, "source": "websocket", "attempt": 1}]
193	RUM	9.4	9.4	9.4	0	f	f	0	[{"pnl": -983.4593429999984, "time": "2026-06-04T13:49:09.037176", "price": 9.41, "reason": "stop_hit", "shares": 1871.0, "source": "websocket", "attempt": 1}]
201	NRIX	16.1	16.1	16.1	0	f	f	0	[{"pnl": -378.2401519999998, "time": "2026-06-08T13:55:03.262866+00:00", "price": 16.02, "reason": "stop_hit", "shares": 404.0, "source": "websocket", "attempt": 1}]
207	GLXY	29.77	31.84	29.77	0	f	f	0	[{"pnl": -363.43003800000014, "time": "2026-06-11T13:41:30.709617+00:00", "price": 29.71, "reason": "stop_hit", "shares": 137.0, "source": "websocket", "attempt": 1}]
208	NAVN	23.03	23.03	23.03	0	f	f	0	[{"pnl": -319.46998400000007, "time": "2026-06-11T14:01:39.954099+00:00", "price": 22.985487, "reason": "stop_hit", "shares": 226.0, "source": "websocket", "attempt": 1}]
221	QURE	42.5	42.5	44.69	14	t	t	0	[{"pnl": 229.01999999999992, "time": "2026-06-24T19:45:02.994658+00:00", "price": 48.16, "reason": "partial_profit", "shares": 66, "order_id": "866365fb-f5af-4bd8-b39d-c08a35ebb954"}, {"pnl": -13.399999999999238, "time": "2026-07-02T13:31:21.294321+00:00", "price": 44.59, "reason": "stop_hit", "shares": 134.0, "source": "websocket", "attempt": 1}]
223	JBL	407.4	407.4	407.4	0	f	f	0	[{"pnl": -164.11997800000086, "time": "2026-06-17T14:02:10.034058+00:00", "price": 406.375455, "reason": "stop_hit", "shares": 22.0, "source": "websocket", "attempt": 1}]
228	SYRE	95	95	95	1	f	f	0	[{"pnl": -1483.349999999999, "time": "2026-06-24T13:32:58.217661+00:00", "price": 82.54, "reason": "stop_hit", "shares": 93.0, "source": "websocket", "attempt": 1}]
245	WULF	23.8	23.8	23.8	0	f	f	0	[{"pnl": -32.80000000000001, "time": "2026-07-06T13:57:29.841951+00:00", "price": 23.8, "reason": "stop_hit", "shares": 40.0, "source": "websocket", "attempt": 1}]
250	CRCL	69.29	69.29	69.29	0	f	f	0	[{"pnl": -19.180000000000064, "time": "2026-07-10T13:40:34.350606+00:00", "price": 69.28, "reason": "stop_hit", "shares": 14.0, "source": "websocket", "attempt": 1}]
251	WDFC	287.06	287.06	287.06	0	f	f	0	[{"pnl": -19.029999999999973, "time": "2026-07-10T13:40:35.912087+00:00", "price": 286.72, "reason": "stop_hit", "shares": 2.0, "source": "websocket", "attempt": 1}]
258	TSEM	266.34	266.34	266.34	0	f	f	0	[{"pnl": -23.010000000000048, "time": "2026-07-14T13:44:34.430954+00:00", "price": 266.33, "reason": "stop_hit", "shares": 3.0, "source": "websocket", "attempt": 1}]
261	MANE	118.02	118.02	118.02	0	f	f	0	[{"pnl": -2.3999999999999773, "time": "2026-07-16T13:30:06.279232+00:00", "price": 119.04, "reason": "stop_hit", "shares": 8.0, "source": "websocket", "attempt": 1}]
266	HUT	101.4482	101.4482	101.4482	0	f	f	0	[{"pnl": -19.530000000000015, "time": "2026-07-20T13:31:57.296402+00:00", "price": 101.31, "reason": "stop_hit", "shares": 9.0, "source": "websocket", "attempt": 1}]
271	SMCI	28.5	28.5	28.5	2	f	f	0	[{"pnl": -14.959999999999994, "time": "2026-07-27T14:37:45.699526+00:00", "price": 28.79, "reason": "stop_hit", "shares": 22.0, "source": "websocket", "attempt": 1}]
273	NVCR	18	18	18	0	f	f	0	[{"pnl": -24.133199999999935, "time": "2026-07-24T19:36:57.558381+00:00", "price": 18.0008, "reason": "stop_hit", "shares": 21.0, "source": "websocket", "attempt": 1}]
275	THC	233.58	233.58	233.58	0	f	f	0	[{"pnl": -16.279999999999973, "time": "2026-07-24T16:43:37.736066+00:00", "price": 233.53, "reason": "stop_hit", "shares": 2.0, "source": "websocket", "attempt": 1}]
276	WKC	39	39	39	0	f	f	0	[{"pnl": -23.799999999999955, "time": "2026-07-24T16:02:39.726060+00:00", "price": 38.97, "reason": "stop_hit", "shares": 20.0, "source": "websocket", "attempt": 1}]
279	QBTS	17.75	17.75	17.75	0	f	f	0	[{"pnl": -22.26000000000009, "time": "2026-07-28T13:36:25.187984+00:00", "price": 17.75, "reason": "stop_hit", "shares": 53.0, "source": "websocket", "attempt": 1}]
291	FTNT	160.185	160.185	160.185	0	f	f	0	[{"pnl": -6.6299999999999955, "time": "2026-07-30T13:37:50.539687+00:00", "price": 160.02, "reason": "stop_hit", "shares": 1.0, "source": "websocket", "attempt": 1}]
