=== SECTYPE_COVERAGE ===
security_type|n|first_seen|last_seen
ETF|5612|2026-03-24|2026-08-31
CS|5598|2026-03-24|2026-08-31
WARRANT|523|2026-03-24|2026-08-31
PFD|453|2026-03-24|2026-08-31
ADRC|389|2026-03-24|2026-08-31
FUND|345|2026-03-30|2026-08-31
UNIT|341|2026-03-24|2026-08-31
SP|174|2026-03-30|2026-08-31
RIGHT|152|2026-03-24|2026-08-31
ETS|116|2026-06-15|2026-08-31
ETV|91|2026-08-17|2026-08-31
ETN|52|2026-08-17|2026-08-31
(12 rows)
=== BUCKET_MONTH ===
skip_category|mon|pre_sectype_filter|cls|n|sessions|n20|tail20|lose20|n5|tail5_20|tail5_10|lose5|day0_red|tail20_day0red|tail5_day0red|gap_gt100
MXL|2026-04-24|scan_filter|extension_gate|already up 59% in prior 5 days (extended)||CS|CS|0.5766423357664233|54|60.32|-0.04351851851851855|0.4292592592592594|0.8362962962962962|0.9309259259259258
AKAN|2026-04-29|scan_filter|extension_gate|already up 438% in prior 5 days (extended)||CS|CS|0.11263579188107505|19.46|25.99|1.5159301130524152|0.593011305241521|0.12589928057553953|3.054465570400822
AIOS|2026-05-01|scan_filter|extension_gate|already up 2264% in prior 5 days (extended)||CS|CS|0.30257510729613735|12.14|22|0.2784184514003294|0.5658978583196047|0.30807248764415157|1.7899423393739704
ERNA|2026-05-07|scan_filter|extension_gate|already up 64% in prior 5 days (extended)||CS|CS|0.152317880794702|6.96|7.82|0.08189655172413797|0.3735632183908047|0.13362068965517238|1.281609195402299
PIII|2026-05-19|scan_filter|extension_gate|already up 157% in prior 5 days (extended)||CS|CS|0.09705561613958567|10.06|10.49|-0.0367793240556661|0.5834990059642146|0.11630218687872762|0.6789264413518886
AKTX|2026-05-22|scan_filter|extension_gate|already up 68% in prior 5 days (extended)||ADRC|CS|0.9299610894941636|9.92|18.27|0.7953629032258064|0.3538306451612903||1.9556451612903225
ASTC|2026-05-28|scan_filter|extension_gate|already up 506% in prior 5 days (extended)||CS|CS|0.5706010137581463|21.69|29.43|1.2959889349930842|0.772706316274781|-0.5707699400645458|2.1742738589211617
SDOT|2026-06-08|scan_filter|extension_gate|already up 345% in prior 5 days (extended)||CS|CS|0.17792421746293247|14.3|20.53|-0.05594405594405599|0.641258741258741|0.4202797202797201|6.4125874125874125
PN|2026-07-24|scan_filter|extension_gate|already up 151% in prior 5 days (extended)||CS|CS|0.1620762711864408|10.97|7.98|-0.0756608933454877|0.5742935278030993|-0.7575205104831358|1.1877848678213307
DFNS|2026-07-28|scan_filter|extension_gate|already up 236% in prior 5 days (extended)||CS|CS|0.5625954198473282|20.47|24|1.4533463605276014|1.3136297020029313|-0.3629702002931119|3.445530043966781
WETO|2026-08-17|scan_filter|extension_gate|already up 128% in prior 5 days (extended)||CS|CS|0.23600973236009726|10.16|24.59|2.248031496062992|1.715551181102362||4.2745964566929135
TATT|2026-05-20|high_unentered|high_unentered||64.8|CS|CS|0.1605995717344754|37.94|39.54|-0.01950448075909317|0.1025303110173959|0.23247232472324725|0.2401159725882973
INFQ|2026-05-21|high_unentered|high_unentered|ORB window unfilled|115.2|CS|CS|0.20751341681574242|13.5|14.7|0.21111111111111122|0.2014814814814814|0.052592592592592656|0.5370370370370371
DFTX|2026-06-22|high_unentered|high_unentered|ORB window unfilled|60|CS|CS|0.5759803921568627|38.58|36.67|-0.062208398133748025|0.20658372213582166|0.168481078278901|0.2752721617418353
FCEL|2026-06-24|high_unentered|high_unentered||84|CS|CS|0.1507791017415215|25.11|21.56|-0.21744324970131426|0.2700119474313023|-0.0720828355236957|0.508562325766627
AEHR|2026-07-15|high_unentered|high_unentered|rejected|96|CS|CS|0.36307457297597545|98.155|87.79|-0.14217309357648614|-0.047017472365136724|0.31659110590392736|0.3585655341042228
LIFE|2026-08-04|high_unentered|high_unentered|ORB window unfilled|80|CS|CS|0.1971090670170828|27.33|27.65|0.014270032930845247|0.2239297475301868|0.2806439809732895|0.4990815953165022
AMBQ|2026-05-12|high_unentered|infra_skip|setup:account_fetch_failed: 'ALPACA_LIVE_API_KEY'|96|CS|CS|0.16356470330632797|53.14|66.37|0.3415506210011292|0.3387278885961611|0.413624388407979|0.6139612344749718
VPG|2026-05-12|high_unentered|infra_skip|setup:account_fetch_failed: 'ALPACA_LIVE_API_KEY'|96|CS|CS|0.2603603603603604|83.94|85.57|0.1865618298784846|0.16690493209435317|0.456397426733381|0.6227066952585181
OGN|2026-04-24|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||CS|CS|0.24941860465116275|10.745|11.26|0.224755700325733|0.23685435086086554|0.24988366682177762|0.25453699395067486
RKLB|2026-05-08|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||CS|CS|0.0948714685670654|86.035|105.47|0.36397977567269135|0.45022374614982275||0.7550985064218051
RGTI|2026-05-21|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||CS|CS|0.10693127962085307|18.685|22.04|0.4139684238694142|0.3668718223173669||0.5017393631255018
ALMU|2026-04-13|scan_filter|mcap_low|quality filter: Market cap too low ($194M)||CS|CS|0.3045095304509529|14.03|15.35|0.016393442622950852|0.18816821097647915|1.008553100498931|1.152530292230934
QUIK|2026-04-27|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $232M < $500M||CS|CS|0.11697247706422013|14.61|15.7|-0.07529089664613277|0.25325119780971933|0.5571526351813827|0.6290212183436004
MRAM|2026-04-30|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $307M < $500M||CS|CS|0.3692191053828658|18.06|18.28|0.18992248062015504|0.19102990033222608|0.460686600221484|1.8516057585825028
OSS|2026-05-06|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $350M < $500M||CS|CS|0.16990788126919143|11.43|15.33|0.321084864391951|0.3875765529308836|0.6535433070866141|0.8267716535433071
AGL|2026-05-07|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $464M < $500M||CS|CS|0.5651705565529623|43.59|60.66|0.2440926818077539|0.8006423491626518|1.2218398715301673|1.274260151410874
VELO|2026-05-13|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $419M < $500M||CS|CS|0.19061166429587467|16.74|21.01|0.18518518518518529|0.1057347670250898|0.8285543608124255|0.8966547192353646
TATT|2026-05-20|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $468M < $500M||CS|CS|0.1605995717344754|37.94|39.54|-0.01950448075909317|0.1025303110173959|0.23247232472324725|0.2401159725882973
WW|2026-05-22|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $126M < $500M||CS|CS|0.1219028741328048|11.32|12.79|0.22261484098939924|0.48233215547703184||0.8012367491166078
CPSH|2026-05-26|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $108M < $500M||CS|CS|0.17833333333333337|7.07|11.12|0.6393210749646392|0.3069306930693069|-0.2376237623762377|1.0353606789250354
QTTB|2026-05-27|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $120M < $500M||CS|CS|0.29337094499294786|9.17|12.85|0.12431842966194118|0.3293347873500545|0.30316248636859316|0.6194002181025082
WNC|2026-06-17|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $449M < $500M||CS|CS|0.11530172413793108|10.35|10.8|0.09758454106280191|0.3468599033816425|0.2985507246376812|0.3835748792270532
RGNX|2026-06-22|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $403M < $500M||CS|CS|0.09230769230769227|8.52|9.07|0.16784037558685444|0.3884976525821597|0.21361502347417846|0.8638497652582161
BLZE|2026-06-23|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $487M < $500M||CS|CS|0.26970443349753714|10.31|11.66|0.16100872938894278|0.5383123181377303|0.3016488845780795|0.7700290979631423
JACK|2026-06-24|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $221M < $500M||CS|CS|0.0958549222797927|12.69|13.35|0.010244286840031583|0.371946414499606|0.08510638297872342|0.4114420803782507
FWRD|2026-07-21|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $417M < $500M||CS|CS|0.14772727272727282|15.15|16.21|0.06072607260726072|-0.024422442244224487|0.266006600660066|0.3577557755775577
AGPU|2026-07-27|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $78M < $500M||CS|CS|0.14890510948905117|7.87|7.21|-0.06861499364675985|0.07242693773824643|0.3049555273189326|0.4904701397712834
SENS|2026-08-07|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $328M < $500M||CS|CS|0.11844660194174746|5.76|7.02|0.30902777777777785|0.35590277777777773||0.7620659722222223
QMCO|2026-08-11|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $464M < $500M||CS|CS|0.23259762308998305|14.52|19.4|0.5106749311294766|0.6198347107438017||0.9145936639118458
ARCT|2026-08-19|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $233M < $500M||CS|CS|0.14555420219244802|9.405|10.28|0.16852737905369494|0.6831472620946306||0.8872620946305159
CAPR|2026-08-24|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $466M < $500M||CS|CS|0.2766295707472177|8.03|6.8|0.03237858032378578|0.23412204234122053||0.3698630136986302
QBTS|2026-05-21|moderate_alert|moderate_tier||64.8|CS|CS|0.1274611398963731|21.76|25.74|0.35110294117647045|0.38511029411764697||0.44990808823529405
ASPI|2026-05-26|moderate_alert|moderate_tier||54|CS|CS|0.14954954954954958|6.38|6.93|0.04545454545454546|0.30564263322884017|0.10658307210031344|0.3385579937304074
KSS|2026-05-28|moderate_alert|moderate_tier||64.8|CS|CS|0.19953596287703018|15.51|15.59|-0.07414571244358481|0.029013539651837592|0.24177949709864616|0.26499032882011614
ABVX|2026-06-03|moderate_alert|moderate_tier||50.4|ADRC|CS|0.12082758620689663|81.26|90.15|0.29128722618754616|0.20637460004922464|0.7800886044794486|0.8050701452128969
KC|2026-07-08|moderate_alert|moderate_tier||50|ADRC|CS|0.10275423728813567|10.41|10.52|0.005763688760806964|-0.03650336215177721|0.20172910662824203|0.26224783861671475
EFOR|2026-07-22|moderate_alert|moderate_tier||50.4|CS|CS|0.09393773894046983|20.03|20.38|-0.019470793809286097|0.16874687968047922|0.5951073389915126|0.6864702945581627
CRDO|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 13.3%)||CS|CS|0.1478862756772847|154.23|159.57|0.09155157881086692|0.1886144070543993|0.2874927056992803|0.3678921091875771
GLXU|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 10.1%)||ETF|nonCS|0.1158038147138964|8.19|8.16|0.023199023199023356|0.08730158730158728|0.652014652014652|0.750915750915751
HODU|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 14.0%)||ETF|nonCS|0.10160427807486627|8.24|9.02|0.32160194174757284|0.28194174757281554|0.0036407766990290487|0.4970509708737863
HOOG|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 14.2%)||ETF|nonCS|0.0995052226498075|20|21.933|0.3244999999999999|0.2824999999999999|0.00649999999999995|0.500005
IRE|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 9.6%)||ETS|nonCS|0.10416666666666674|22.26|24.18|0.15498652291105117|-0.023360287511231047|0.3926325247079963|0.8787061994609163
IREG|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 10.1%)||ETF|nonCS|0.11096166778749163|16.52|17.87|0.14588377723970947|-0.024981840193704658|0.41202179176755444|0.8765133171912833
IREX|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 9.7%)||ETF|nonCS|0.10620126253249162|29.79|32.335|0.15072171869754958|-0.025176233635448138|0.4011413225914738|0.8935884525008392
LUNL|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 12.1%)||ETF|nonCS|0.12226847034339237|21.57|18.03|-0.14974501622624017|0.12749188687992583|0.3625405656003709|0.47890588780713944
MVLL|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 8.4%)||ETF|nonCS|2.222925745133718|48|46.29|-0.02666666666666669|0.2197916666666666|0.4020833333333333|0.6137499999999999
OKLO|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 11.7%)||CS|CS|0.09547645532072685|59.09|58.58|0.07209341682179722|0.05957014723303428|0.24606532408190882|0.37925198849213054
QBTX|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 14.2%)||ETF|nonCS|0.09033877038895857|8.69|10.52|0.7537399309551209|0.6766398158803223|0.8975834292289988|1.3187571921749137
QPUX|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 11.9%)||ETF|nonCS|0.11117898594990838|18.19|21.02|0.5887850467289718|0.5695437053326002|0.9776250687190762|1.4183617372182518
XNDU|2026-04-14|scan_filter|outside_top20|outside top-20 gap cap (gap 12.6%)||CS|CS|0.09225413402959098|12.55|14.83|1.0063745019920318|0.8247011952191233|0.12749003984063742|2.381673306772908
CRDU|2026-04-17|scan_filter|outside_top20|outside top-20 gap cap (gap 8.3%)||ETF|nonCS|3.260138476755688|43.07|41.35|0.1318783375899698|0.3930810308799628|0.02275365683770599|0.560018574413745
KORU|2026-04-17|scan_filter|outside_top20|outside top-20 gap cap (gap 8.6%)||ETF|nonCS|20.67036247334755|508.17|515.85|-0.027982761674242924|0.03595253556880579|0.47852096739280164|0.9831944034476651
VCX|2026-04-30|scan_filter|outside_top20|outside top-20 gap cap (gap 8.2%)||CS|CS|0.09398894247735554|93|94.79|0.016666666666666635|0.5498924731182794|1.2688172043010753|2.333225806451613
SEAT|2026-05-05|scan_filter|outside_top20|outside top-20 gap cap (gap 9.1%)||CS|CS|0.09953343701399699|7.07|7.16|0.07920792079207915|0.22772277227722762|0.23338048090523342|0.4526166902404525
SHLS|2026-05-05|scan_filter|outside_top20|outside top-20 gap cap (gap 8.5%)||CS|CS|0.11608222490931087|9.23|8.13|-0.09750812567713979|-0.06500541711809313|0.3423618634886241|0.4279414951245936
ARM|2026-05-06|scan_filter|outside_top20|outside top-20 gap cap (gap 8.7%)||ADRC|CS|0.1108982953457192|232|237.3|-0.0805603448275862|-0.04650862068965514|0.6958620689655173|0.8447844827586207
BRKR|2026-05-06|scan_filter|outside_top20|outside top-20 gap cap (gap 8.1%)||CS|CS|0.10155222309918442|41.87|42.3|0.04442321471220443|0.047289228564604824|0.43229042273704327|0.5414377836159544
RIOT|2026-05-06|scan_filter|outside_top20|outside top-20 gap cap (gap 14.1%)||CS|CS|0.10073710073710058|22.4|23.7|0.07633928571428576|0.11250000000000014|0.22633928571428574|0.29196428571428584
UMC|2026-05-06|scan_filter|outside_top20|outside top-20 gap cap (gap 8.6%)||ADRC|CS|0.09136331192005706|15.29|15.23|-0.008502289077828582|0.04120340091563118|0.3597122302158274|0.549378678875082
VCYT|2026-05-06|scan_filter|outside_top20|outside top-20 gap cap (gap 12.5%)||CS|CS|0.18289353958143773|39|41.19|0.045128205128205076|-0.019230769230769232|0.28051282051282045|0.2958974358974359
MDB|2026-05-07|scan_filter|outside_top20|outside top-20 gap cap (gap 9.5%)||CS|CS|0.09349317650606956|290.06|293.42|0.03244156381438332|0.04492174032958689|0.20919809694545957|0.42039578018341034
RXO|2026-05-07|scan_filter|outside_top20|outside top-20 gap cap (gap 11.2%)||CS|CS|0.10626911314984695|21.705|23.11|0.0020732550103663536|-0.1932734392997004|0.2375028795208478|0.2821930430776319
SNOW|2026-05-07|scan_filter|outside_top20|outside top-20 gap cap (gap 9.6%)||CS|CS|0.09796765421497064|153.43|153.72|-0.006387277585869896|-0.017402072606400417|0.5528905689891155|0.8574594277520693
VCX|2026-05-07|scan_filter|outside_top20|outside top-20 gap cap (gap 11.3%)||CS|CS|0.11963769027550643|178|144.14|0.0729775280898877|0.23028089887640454|-0.23039325842696623|0.7415168539325844
STRZ|2026-05-11|scan_filter|outside_top20|outside top-20 gap cap (gap 9.5%)||CS|CS|0.11293582617483575|22.025|21.15|-0.07604994324631088|-0.0342792281498297|0.23813847900113513|0.2821793416572077
MU|2026-05-26|scan_filter|outside_top20|outside top-20 gap cap (gap 11.2%)||CS|CS|0.09254327563249001|820.5|895.88|0.1315173674588665|0.2968921389396708|0.2778915295551493|0.4790493601462522
PURR|2026-05-26|scan_filter|outside_top20|outside top-20 gap cap (gap 12.6%)||CS|CS|0.09126466753585388|8.37|8.45|-0.0011947431302269758|0.3106332138590205|-0.056152927120668925|0.3882915173237754
AEHR|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 10.1%)||CS|CS|0.09556574923547399|71.65|76.87|0.11625959525471037|0.3920446615491973|0.2625261688764827|1.0572226099092812
COHR|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 10.2%)||CS|CS|0.09612699842377842|243.395|249.06|0.08009614001931008|0.3731588570019927|0.21362394461677509|0.6079418229626739
CRWV|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 14.7%)||CS|CS|0.12298585991450176|68.3|73.9|0.050805270863836|0.24934114202049784|0.2708638360175696|0.7202049780380674
LITE|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 10.9%)||CS|CS|0.09887938905951679|661.91|693.24|0.07860585275943872|0.26612379326494534|0.4445166261274192|0.5102884077895786
ONTO|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 10.8%)||CS|CS|0.09243735971783247|238.49|250.52|0.0842383328441443|0.12667197786070686|0.2269696842634911|0.48365214474401447
PGY|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 11.4%)||CS|CS|0.1114885731933292|17.995|17.64|0.07085301472631278|0.19033064740205616|0.2925812725757155|0.3109196999166434
QMCO|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 10.1%)||CS|CS|0.09186602870813405|11.41|11.24|-0.06748466257668707|0.023663453111305834|1.064855390008764|1.4364504820333042
SHAZ|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 13.8%)||CS|CS|0.1336991768520828|45.45|48.77|0.06160616061606154|0.14741474147414732|0.3027502750275027|0.76017601760176
SMTC|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 10.1%)||CS|CS|0.1085465958474168|114.79|114.61|0.026396027528530243|0.1741440892063768|0.2407875250457357|0.3569997386531928
SNDK|2026-07-30|scan_filter|outside_top20|outside top-20 gap cap (gap 15.1%)||CS|CS|0.11725678961304867|1135.01|1279.96|0.07032537158262918|0.10887128747764331|0.3083144641897429|0.6105496867869006
INFU|2026-08-04|scan_filter|outside_top20|outside top-20 gap cap (gap 13.8%)||CS|CS|0.09978308026030368|10.14|12.32|0.19822485207100587|0.22879684418145957|0.19329388560157781|0.27909270216962523
ULBI|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 11.1%)||CS|CS|0.14661654135338334|6.1|6.35|0.137704918032787|0.2311475409836066||0.2557377049180329
MRVU|2026-04-20|scan_filter|pm_rvol_low|pre-mkt volume 9,394 < 25,000 shares||ETF|nonCS|0.11597307221542225|72.94|73.18|0.047436248971757716|0.1372360844529751|0.25322182615848643|0.6231148889498218
BRUNW|2026-05-13|scan_filter|pm_rvol_low|pre-mkt volume 4,961 < 25,000 shares||WARRANT|nonCS|0.2181372549019607|9.94|9.91|0.41448692152917516|0.3058350100603623|0.8913480885311873|2.053319919517103
TSAT|2026-08-04|scan_filter|pm_rvol_low|pre-mkt volume 1,625 < 25,000 shares||CS|CS|0.09507217521154804|44|54.75|0.1654545454545455|0.35181818181818175|-0.024090909090909142|0.39863409090909097
MVLL|2026-04-20|scan_filter|score_below_50|score -12 < 50 (catalyst=routine)|-12|ETF|nonCS|2.3329951601448973|55.85|56|0.04834377797672329|0.13912264995523715|0.25192479856759176|0.6168307967770814
NOK|2026-04-23|scan_filter|score_below_50|score 32 < 50 (catalyst=strong)|31.7|ADRC|CS|0.09279918864097372|10.775|10.33|-0.02923433874709972|0.1981438515081206|0.3160092807424593|0.4097447795823665
AMD|2026-04-24|scan_filter|score_below_50|score 32 < 50 (catalyst=routine)|32.4|CS|CS|0.10292142927324538|336.755|347.81|-0.006310225534884412|0.07062998322222394|0.3882793128535582|0.4295556116464493
MANE|2026-04-27|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|CS|CS|0.19501768867924513|81.07|100.1|0.27174047119773037|0.29838411249537455|0.2643394597261627|0.4519551005304059
NVCR|2026-04-30|scan_filter|score_below_50|score 38 < 50 (catalyst=routine)|38.4|CS|CS|0.11986588432523049|13.36|15.21|0.2440119760479043|0.25973053892215564|0.2754491017964072|0.41616766467065885
BB|2026-05-04|scan_filter|score_below_50|score -14 < 50 (catalyst=routine)|-14.4|CS|CS|0.12546125461254606|6.1|5.58|-0.0819672131147541|0.019672131147541003|0.6918032786885248|0.6934426229508198
DOCN|2026-05-05|scan_filter|score_below_50|score 14 < 50 (catalyst=routine)|14.4|CS|CS|0.19658119658119644|130.2|152.77|0.23648233486943182|0.19600614439324127|0.33394777265745024|0.3810291858678957
DDOG|2026-05-07|scan_filter|score_below_50|score 48 < 50 (catalyst=routine)|48|CS|CS|0.3081205204926588|187.99|188.73|0.06473748603649124|0.07899356348741951|0.24533219852119795|0.4825522634182668
PENG|2026-05-13|scan_filter|score_below_50|score 0 < 50 (catalyst=routine)|0|CS|CS|0.15805574439157022|51.105|48.27|-0.032579982389198694|-0.06799726054202122|0.2587809411994913|0.43312787398493297
PSNL|2026-05-13|scan_filter|score_below_50|score 46 < 50 (catalyst=strong)|45.6|CS|CS|0.12913907284768217|6.82|6.39|-0.01612903225806456|0.16568914956011727|0.38123167155425214|0.8372434017595306
SLS|2026-05-13|scan_filter|score_below_50|score 7 < 50 (catalyst=routine)|7.2|CS|CS|0.20977011494252887|6.315|6.53|0.17498020585906562|0.42042755344418054|0.22723673792557395|0.5059382422802849
RDW|2026-05-18|scan_filter|score_below_50|score 36 < 50 (catalyst=strong)|36|CS|CS|0.0945945945945946|15.39|13.96|-0.09616634178037689|0.43209876543209863|-0.12280701754385968|0.7309941520467836
SHAZ|2026-05-18|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|CS|CS|0.11348043760430182|60.05|57.5|-0.1260616153205662|0.08243130724396341|0.27693588676103265|0.44779350541215657
UMC|2026-05-26|scan_filter|score_below_50|score 12 < 50 (catalyst=routine)|12|ADRC|CS|0.15422612513721198|21.03|21.08|0.05658582976699941|0.06799809795530193|0.33190679980979554|0.3628150261531145
UMAC|2026-05-28|scan_filter|score_below_50|score 36 < 50 (catalyst=routine)|36|CS|CS|0.3276686139139672|25|29.6|0.27120000000000005|0.29199999999999987|-0.23599999999999993|0.37439999999999996
BFLY|2026-06-18|scan_filter|score_below_50|score 25 < 50 (catalyst=routine)|25|CS|CS|0.2626970227670753|7.21|8.9|0.00832177531206652|0.23300970873786417||0.3439667128987517
CDNA|2026-07-16|scan_filter|score_below_50|score 30 < 50 (catalyst=routine)|30|CS|CS|0.22352941176470584|36.4|40.34|0.09148351648351644|0.03324175824175827|0.30164835164835174|0.367032967032967
MAN|2026-07-16|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|CS|CS|0.1988723731419784|46.78|51.65|0.11885421120136815|0.06776400171013257|0.26314664386489955|0.26336041043180847
OMER|2026-07-27|scan_filter|score_below_50|score 38 < 50 (catalyst=routine)|38|CS|CS|0.1491317671092953|11.25|11.34|0.0026666666666666098|0.11644444444444449|0.7173333333333334|0.7404444444444442
AAOI|2026-07-31|scan_filter|score_below_50|score 37 < 50 (catalyst=routine)|37|CS|CS|0.11086449894573294|100.1|94.32|0.100999000999001|0.35494505494505496|0.06123876123876134|0.6082917082917084
COHR|2026-07-31|scan_filter|score_below_50|score 30 < 50 (catalyst=routine)|30|CS|CS|0.107765197141251|275.9|262.89|0.04436389996375502|0.3741573033707866|0.011960855382384965|0.41850308082638654
IBTA|2026-08-04|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|CS|CS|0.24532139951179827|30.61|37.34|0.15387128389415228|0.20091473374714142|0.21757595557007525|0.3038222803005553
DCTH|2026-08-06|scan_filter|score_below_50|score 48 < 50 (catalyst=routine)|48|CS|CS|0.1108471892319872|14.03|15.47|0.07697790449037777|0.23734853884533144||0.24162508909479705
KRO|2026-08-06|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|CS|CS|0.14331723027375196|7.1|8.23|0.20985915492957752|0.21830985915492968||0.29154929577464794
NIQ|2026-08-11|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|CS|CS|0.1738013698630138|13.71|16.58|0.22611232676878174|0.26331145149525886||0.4361779722830051
AVAH|2026-08-13|scan_filter|score_below_50|score 30 < 50 (catalyst=routine)|30|CS|CS|0.1149171270718231|10.09|11.29|0.22101090188305259|0.2854311199207137||0.3875123885034688
MRVI|2026-08-19|scan_filter|score_below_50|score 48 < 50 (catalyst=routine)|48|CS|CS|0.17020905923344937|6.717|7.22|0.2341819264552627|0.32499627810034254||0.4024117909781153
CRDU|2026-04-13|scan_filter|session_rvol_low|low rel volume 0.4x < 2.0x||ETF|nonCS|3.302954640033292|25.85|29.98|0.5965183752417795|0.885880077369439|1.581431334622824|1.5992263056092841
LABX|2026-04-13|scan_filter|session_rvol_low|low rel volume 0.6x < 2.0x||ETF|nonCS|5.135761515684485|27.56|33.28|0.25326560232220613|0.33744557329462993|0.7670537010159654|1.196298984034833
MVLL|2026-04-13|scan_filter|session_rvol_low|low rel volume 0.9x < 2.0x||ETF|nonCS|2.0729214136980922|43.83|44.68|0.0561259411362081|0.2776637006616473|0.6538900296600502|0.7672826830937713
APLX|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.3x < 2.0x||ETF|nonCS|0.10027855153203352|15.8|18.31|0.11392405063291143|0.14493670886075943|1.0873417721518985|1.3423417721518986
BE|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.3x < 2.0x||CS|CS|0.14778966434595583|202.78|219.03|0.05454186803432292|0.08940723937271917|0.3842094881151987|0.494180885688924
BEG|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.3x < 2.0x||ETF|nonCS|0.2965760322255791|51.5|58.64|0.06990291262135925|0.14750291262135928|0.7079611650485436|1.0077669902912623
BEX|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.5x < 2.0x||ETF|nonCS|0.2975504322766571|36.02|41.12|0.08439755691282617|0.15463631315935591|0.734869516935036|1.0405330372015544
CLSX|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.4x < 2.0x||ETF|nonCS|0.094553706505295|14.47|14.44|-0.006910850034554348|0.0276434001382169|0.34346924671734624|0.6786454733932272
CRDU|2026-04-14|scan_filter|session_rvol_low|low rel volume 1.1x < 2.0x||ETF|nonCS|4.195463642428285|38.94|41.27|0.17642526964560876|0.3772470467385723|0.524396507447355|0.7254750898818696
HOOX|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.3x < 2.0x||ETF|nonCS|0.102191237969125|22.64|24.86|0.3334805653710248|0.2866254416961131|0.00574204946996462|0.5044169611307421
IONL|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.9x < 2.0x||ETF|nonCS|0.13456464379947242|12.9|15.92|0.7534883720930233|0.9844961240310078|1.7023720930232558|2.0232558139534884
IONX|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.7x < 2.0x||ETF|nonCS|0.1404313905461222|24.85|30.54|0.7436619718309857|0.980281690140845|1.6808853118712275|1.9979879275653922
OKLL|2026-04-14|scan_filter|session_rvol_low|low rel volume 0.8x < 2.0x||ETF|nonCS|0.19812680115273762|8.315|8.11|0.1365003006614552|0.09561034275405893|0.34816596512327136|0.8003607937462419
ORCU|2026-04-14|scan_filter|session_rvol_low|low rel volume 1.9x < 2.0x||ETF|nonCS|0.15275142314990525|12.15|11.54|0.027983539094650192|0.16213991769547315|0.21069958847736628|0.39068312757201634
