TEAM	1786089600000	144	144.81	143	143.31	2472.714256
TEAM	1786089660000	143.92	144.59	143.01	143.01	2072
TEAM	1786089720000	143.01	143.01	143.01	143.01	489
TEAM	1786089780000	144.01	144.58	144	144.1	3194
TEAM	1786089840000	144.61	144.61	144.61	144.61	192
TEAM	1786089900000	143.0384	144.61	143.0384	144.61	5040
TEAM	1786089960000	144.9	144.98	144.22	144.22	1678
TEAM	1786090020000	144.1	144.33	144.1	144.1	828.704928
TEAM	1786090140000	144.54	144.54	144.54	144.54	565
TEAM	1786090200000	144.99	144.99	144.99	144.99	131
TEAM	1786090260000	144.85	144.85	144.85	144.85	468
TEAM	1786090380000	144	144	144	144	289
TEAM	1786090440000	144	144	144	144	326
TEAM	1786090620000	143.9452	144	143.9452	144	1130.032281
TEAM	1786090680000	143.99	143.99	143.99	143.99	290
TEAM	1786090740000	143.62	143.62	143.37	143.37	769
TEAM	1786090860000	143.99	144.3	143.99	144.3	8480.804573
TEAM	1786091040000	144.57	144.57	144.57	144.57	238
TEAM	1786091100000	144.84	144.84	144.63	144.63	1638
TEAM	1786091160000	144.99	144.99	144	144	540
TEAM	1786091220000	143.02	143.02	143.02	143.02	500
TEAM	1786091340000	143.32	143.32	143.32	143.32	208
TEAM	1786091460000	144.08	144.3	144.08	144.3	6862
TEAM	1786091520000	144.3	144.58	144.3	144.58	1260
TEAM	1786091700000	144.4	144.4	144.4	144.4	251
TEAM	1786091760000	144.44	144.44	144.44	144.44	7035
TEAM	1786091880000	144.38	144.41	144.28	144.28	505
TEAM	1786091940000	144.01	144.01	144.01	144.01	140.097313
TEAM	1786092120000	144	144	144	144	416.139662
TEAM	1786092180000	143.9	143.9	143.9	143.9	235
TEAM	1786092360000	143.63	143.63	143.63	143.63	337
TEAM	1786092540000	143.164	143.164	143.164	143.164	109
TEAM	1786092600000	143.5	143.5	143.5	143.5	206
TEAM	1786092900000	143.07	143.07	143.07	143.07	246
TEAM	1786092960000	143.48	143.48	143.48	143.48	107.130331
TEAM	1786093020000	143.48	143.48	143.48	143.48	260
TEAM	1786093080000	143.48	143.48	143.48	143.48	584.686439
TEAM	1786093140000	143.8	143.8	143.8	143.8	695
TEAM	1786093200000	144.27	144.27	144.27	144.27	122.609972
TEAM	1786093380000	143	143	143	143	2664
TEAM	1786093500000	142.7	142.86	142.15	142.5	3474
TEAM	1786093680000	142.55	142.898	142	142	16072.610771
TEAM	1786093740000	142.01	142.01	141.94	141.96	1532
TEAM	1786093800000	141.9	141.97	141.9	141.97	596.270049
TEAM	1786093920000	141.99	141.99	141.9	141.9	388
TEAM	1786093980000	141.89	141.89	141.89	141.89	303
TEAM	1786094160000	141.75	141.99	141.75	141.99	4172
TEAM	1786094220000	141.81	142.25	141.81	142.25	1490
TEAM	1786094520000	142.95	142.95	142.95	142.95	150
TEAM	1786094580000	142.93	142.93	142.93	142.93	253
TEAM	1786094640000	142.3365	142.98	142.3365	142.98	2768
TEAM	1786094700000	142.57	142.57	142.57	142.57	310
TEAM	1786094760000	142	142	142	142	140
TEAM	1786094880000	142.31	142.31	142.2	142.2	1272.030662
TEAM	1786095240000	142.23	142.23	142.23	142.23	262
TEAM	1786095480000	142.33	142.41	142.1	142.41	3240
TEAM	1786095660000	141.97	141.97	141.67	141.67	305
TEAM	1786095840000	141.9	141.9	141.9	141.9	602.023749
TEAM	1786095900000	142.01	142.01	142.01	142.01	305
TEAM	1786096080000	141.8003	143.22	141.8003	143.22	13903
TEAM	1786096140000	143.66	143.66	143.19	143.19	650
TEAM	1786096260000	143.65	143.67	143.5	143.5	788.023749
TEAM	1786096320000	143.76	143.76	143.52	143.52	407
TEAM	1786096380000	143.5913	143.74	143.5913	143.74	1351
TEAM	1786096560000	143.65	143.65	143.52	143.52	305.425827
TEAM	1786096860000	143.84	144.28	143.84	144.28	7021.05645
TEAM	1786096980000	144.54	145	144.51	144.6	3322.790813
TEAM	1786097040000	144.6	145.95	144.5	145.95	9068.076121
TEAM	1786097100000	145.14	145.56	145.14	145.56	925.2
TEAM	1786097160000	145.43	145.43	145.43	145.43	6313
TEAM	1786097220000	145.6	145.6	145.49	145.49	268
TEAM	1786097280000	145.99	146	145.65	145.65	2334.388457
TEAM	1786097340000	145.6	145.6	145.4875	145.4875	368.339918
TEAM	1786097460000	145.6	145.6	145.6	145.6	221.829771
TEAM	1786097520000	145.43	145.43	145.43	145.43	319.367457
TEAM	1786097640000	145.5	145.5	145.5	145.5	299
TEAM	1786097700000	145.95	145.99	145.95	145.99	1151
TEAM	1786097760000	146	146	146	146	705
TEAM	1786097940000	145.5	145.5	145.5	145.5	126.683912
TEAM	1786098000000	145.8	145.8	145.79	145.79	917.075181
TEAM	1786098060000	145.65	145.65	145.5	145.5	1141
TEAM	1786098120000	145.66	145.72	145.66	145.72	606.052057
