AAON|2026-05-26|COILED|1|142.44|137.68|141.12|1155621
AAON|2026-05-26|COILED|2|137.0899|128.3669|134.6|943930
AAON|2026-05-26|COILED|3|133.79|127.89|132.39|1037611
AAON|2026-05-26|COILED|4|133.93|128.57|133.76|883992
AAON|2026-05-26|COILED|5|134.38|126.67|130.27|1062861
AAON|2026-05-26|COILED|6|136.09|130.75|133.94|936892
AAON|2026-05-26|COILED|7|136.63|130|135.49|1159126
AAON|2026-05-26|COILED|8|141.27|132.92|140|1005541
AAON|2026-05-26|COILED|9|139.3223|128.98|135.37|1523285
AAON|2026-05-26|COILED|10|139.055|126.165|133.66|1738079
AAON|2026-05-26|COILED|11|146.415|136.0501|141.7|1393347
AAON|2026-05-26|COILED|12|140.82|129.3001|139.66|1934534
AAON|2026-05-26|COILED|13|149|125.23|129.25|7690748
AAON|2026-05-26|COILED|14|99.99|94.33|98.3|2117501
AAON|2026-05-26|COILED|15|94.66|88.49|93.66|1306202
AAON|2026-05-26|COILED|16|94.79|90.71|91.9|514550
AAON|2026-05-26|COILED|17|96.54|92.74|93.59|490926
AAON|2026-05-26|COILED|18|94.19|86.54|93.31|701146
AAON|2026-05-26|COILED|19|89.5|86.36|86.47|561277
AAON|2026-05-26|COILED|20|90.81|85.6338|88.08|782799
AAON|2026-05-26|COILED|21|101|91.01|91.64|1567454
AAON|2026-05-26|COILED|22|101.9799|96.38|99.59|906527
AAON|2026-05-26|COILED|23|100.525|96.6281|98.71|621635
AAON|2026-05-26|COILED|24|98.205|95.36|96.86|669372
AAON|2026-05-26|COILED|25|100.47|94.8364|95.74|640480
AAON|2026-05-26|COILED|26|98.29|92.82|97.9|623700
AAON|2026-05-26|COILED|27|98.22|93.0975|93.98|2148973
AAON|2026-05-26|COILED|28|92.9|90|91.48|780333
AAON|2026-05-26|COILED|29|93.53|87.32|92.6|1414562
AAON|2026-05-26|COILED|30|96.205|92.51|93.81|789339
AAON|2026-05-26|COILED|31|93.79|89.79|93.54|585382
AAON|2026-05-26|COILED|32|93.67|91.01|93.17|484831
AAON|2026-05-26|COILED|33|91.59|85.77|90.77|444925
AAON|2026-05-26|COILED|34|88.87|85.47|87.37|837483
AAON|2026-05-26|COILED|35|81.95|79.0001|80.88|495996
AAON|2026-05-26|COILED|36|83.08|80.085|81.25|638513
AAON|2026-05-26|COILED|37|83.785|78.74|81.36|630163
AAON|2026-05-26|COILED|38|86.325|83.52|83.65|725357
AAON|2026-05-26|COILED|39|86.79|80.5|82.75|913969
AAON|2026-05-26|COILED|40|81.65|76.84|78.22|691938
AAON|2026-05-27|COILED|1|145.87|138.86|139.54|1027449
AAON|2026-05-27|COILED|2|142.44|137.68|141.12|1155621
AAON|2026-05-27|COILED|3|137.0899|128.3669|134.6|943930
AAON|2026-05-27|COILED|4|133.79|127.89|132.39|1037611
AAON|2026-05-27|COILED|5|133.93|128.57|133.76|883992
AAON|2026-05-27|COILED|6|134.38|126.67|130.27|1062861
AAON|2026-05-27|COILED|7|136.09|130.75|133.94|936892
AAON|2026-05-27|COILED|8|136.63|130|135.49|1159126
AAON|2026-05-27|COILED|9|141.27|132.92|140|1005541
AAON|2026-05-27|COILED|10|139.3223|128.98|135.37|1523285
AAON|2026-05-27|COILED|11|139.055|126.165|133.66|1738079
AAON|2026-05-27|COILED|12|146.415|136.0501|141.7|1393347
AAON|2026-05-27|COILED|13|140.82|129.3001|139.66|1934534
AAON|2026-05-27|COILED|14|149|125.23|129.25|7690748
AAON|2026-05-27|COILED|15|99.99|94.33|98.3|2117501
AAON|2026-05-27|COILED|16|94.66|88.49|93.66|1306202
AAON|2026-05-27|COILED|17|94.79|90.71|91.9|514550
AAON|2026-05-27|COILED|18|96.54|92.74|93.59|490926
AAON|2026-05-27|COILED|19|94.19|86.54|93.31|701146
AAON|2026-05-27|COILED|20|89.5|86.36|86.47|561277
AAON|2026-05-27|COILED|21|90.81|85.6338|88.08|782799
AAON|2026-05-27|COILED|22|101|91.01|91.64|1567454
AAON|2026-05-27|COILED|23|101.9799|96.38|99.59|906527
AAON|2026-05-27|COILED|24|100.525|96.6281|98.71|621635
AAON|2026-05-27|COILED|25|98.205|95.36|96.86|669372
AAON|2026-05-27|COILED|26|100.47|94.8364|95.74|640480
AAON|2026-05-27|COILED|27|98.29|92.82|97.9|623700
AAON|2026-05-27|COILED|28|98.22|93.0975|93.98|2148973
AAON|2026-05-27|COILED|29|92.9|90|91.48|780333
AAON|2026-05-27|COILED|30|93.53|87.32|92.6|1414562
AAON|2026-05-27|COILED|31|96.205|92.51|93.81|789339
AAON|2026-05-27|COILED|32|93.79|89.79|93.54|585382
AAON|2026-05-27|COILED|33|93.67|91.01|93.17|484831
AAON|2026-05-27|COILED|34|91.59|85.77|90.77|444925
AAON|2026-05-27|COILED|35|88.87|85.47|87.37|837483
AAON|2026-05-27|COILED|36|81.95|79.0001|80.88|495996
AAON|2026-05-27|COILED|37|83.08|80.085|81.25|638513
AAON|2026-05-27|COILED|38|83.785|78.74|81.36|630163
AAON|2026-05-27|COILED|39|86.325|83.52|83.65|725357
AAON|2026-05-27|COILED|40|86.79|80.5|82.75|913969
AAON|2026-05-28|COILED|1|143.34|132.63|142.26|930345
AAON|2026-05-28|COILED|2|145.87|138.86|139.54|1027449
AAON|2026-05-28|COILED|3|142.44|137.68|141.12|1155621
AAON|2026-05-28|COILED|4|137.0899|128.3669|134.6|943930
AAON|2026-05-28|COILED|5|133.79|127.89|132.39|1037611
AAON|2026-05-28|COILED|6|133.93|128.57|133.76|883992
AAON|2026-05-28|COILED|7|134.38|126.67|130.27|1062861
AAON|2026-05-28|COILED|8|136.09|130.75|133.94|936892
AAON|2026-05-28|COILED|9|136.63|130|135.49|1159126
AAON|2026-05-28|COILED|10|141.27|132.92|140|1005541
AAON|2026-05-28|COILED|11|139.3223|128.98|135.37|1523285
AAON|2026-05-28|COILED|12|139.055|126.165|133.66|1738079
AAON|2026-05-28|COILED|13|146.415|136.0501|141.7|1393347
