AEVA|2026-08-06|skipped|setup:stop_too_wide: ORB range $3.08 (13.4%) > 1.5x ATR $2.33|0|0|0|0||
CAI|2026-08-06|skipped|window:out_of_orb: detected 09:53 ET|0|0|0|0||
DCTH|2026-08-06|skipped|window:out_of_orb: detected 09:56 ET|0|0|0|0||
INSM|2026-08-06|cancelled|broker:entry_rejected: last $128.96 at/below trigger $129.41 at event|129.41|7|0|0||
LFST|2026-08-06|skipped|setup:gap_below_floor: rt -2.0% < 10% floor (alert said 18.8%, last $10.16 vs prev close $10.37)|0|0|0|0||
RDW|2026-08-06|cancelled|ORB window unfilled|12.75|74|0|0||
SITM|2026-08-06|skipped|setup:size_too_small: $48 risk / $48.88 per-share < 1 share|0|0|0|0||
U|2026-08-06|skipped|setup:gap_below_floor: rt 1.0% < 10% floor (alert said 18.4%, last $35.83 vs prev close $35.47)|0|0|0|0||
ACMR|2026-08-07|skipped|setup:gap_below_floor: rt 6.6% < 10% floor (alert said 15.1%, last $84.19 vs prev close $78.98)|0|0|0|0||
FIGS|2026-08-07|closed|block:r3_reentry_disabled|15.495082|61|-6.838002000000003|0|2026-08-07|2026-08-07
FROG|2026-08-07|cancelled|ORB window unfilled|96.255|7|0|0||
MTW|2026-08-07|skipped|window:out_of_orb: detected 09:52 ET|0|0|0|0||
NET|2026-08-07|closed|block:r3_reentry_disabled|316.13|3|-15.389999999999986|0|2026-08-07|2026-08-07
ONTO|2026-08-07|skipped|window:out_of_orb: detected 09:52 ET|0|0|0|0||
QNST|2026-08-07|cancelled|broker:entry_cancelled: last $19.59 at/below trigger $19.80 at event|19.8|48|0|0||
TEAM|2026-08-07|closed|block:r3_reentry_disabled|147.13|6|-23.940000000000055|0|2026-08-07|2026-08-07
TWLO|2026-08-07|skipped|block:max_positions: 5/5 (mode=live)|0|0|0|0||
ABCL|2026-08-10|filled||8.96|85|31.359999999999978|57|2026-08-10|
ACHR|2026-08-10|skipped|window:out_of_orb: detected 09:45 ET|0|0|0|0||
NESR|2026-08-10|skipped|window:out_of_orb: detected 09:45 ET|0|0|0|0||
TH|2026-08-10|skipped|setup:gap_below_floor: rt -5.0% < 10% floor (alert said 12.2%, last $15.68 vs prev close $16.51)|0|0|0|0||
BW|2026-08-11|closed|block:r3_reentry_disabled|12.07|80|-49.60000000000008|0|2026-08-11|2026-08-11
FRMI|2026-08-11|closed|block:r3_reentry_disabled|7.29|134|-31.490000000000045|0|2026-08-11|2026-08-11
RIOT|2026-08-11|cancelled|ORB window unfilled|23.66|41|0|0||
SE|2026-08-11|skipped|setup:gap_below_floor: rt 9.2% < 10% floor (alert said 10.6%, last $125.36 vs prev close $114.80)|0|0|0|0||
ATRO|2026-08-12|skipped|setup:stop_too_wide: ORB range $5.75 (7.2%) > 1.5x ATR $5.29|0|0|0|0||
BE|2026-08-12|skipped|window:out_of_orb: detected 09:50 ET|0|0|0|0||
CRWV|2026-08-12|skipped|window:out_of_orb: detected 09:50 ET|0|0|0|0||
EROC|2026-08-12|cancelled|setup:chase_cap_exceeded: limit $13.50 risk $0.75/sh vs planned $0.41/sh (cap 1.50x, ORB high $13.16)|13.16|72|0|0||
GLBE|2026-08-12|skipped|setup:gap_below_floor: rt 4.8% < 10% floor (alert said 10.7%, last $42.81 vs prev close $40.86)|0|0|0|0||
MRX|2026-08-12|skipped|window:out_of_orb: detected 09:55 ET|0|0|0|0||
CGEM|2026-08-13|skipped|infra:no_bar: 3 retries exhausted|0|0|0|0||
CRMD|2026-08-13|skipped|infra:no_bar: 3 retries exhausted|0|0|0|0||
HLIT|2026-08-13|skipped|infra:no_bar: 3 retries exhausted|0|0|0|0||
KURA|2026-08-13|skipped|window:out_of_orb: detected 09:51 ET|0|0|0|0||
OMER|2026-08-13|skipped|window:out_of_orb: detected 09:45 ET|0|0|0|0||
ETON|2026-08-14|closed|block:r3_reentry_disabled|55.2012|17|19.323599999999942|0|2026-08-14|2026-08-14
HTFL|2026-08-14|skipped|setup:stop_too_wide: ORB range $2.55 (7.0%) > 1.5x ATR $2.19|0|0|0|0||
NMAX|2026-08-14|skipped|window:out_of_orb: detected 09:50 ET|0|0|0|0||
VERA|2026-08-14|skipped|setup:gap_below_floor: rt 5.6% < 10% floor (alert said 14.2%, last $30.50 vs prev close $28.89)|0|0|0|0||
