2026-04-14|CRWU|8.09|8.75|||||outside top-20 gap cap (gap 10.3%)||
2026-04-14|CVNX|12.3|15.85|||||outside top-20 gap cap (gap 12.3%)||
2026-04-14|CWVX|8.06|37.97|||||outside top-20 gap cap (gap 9.9%)||
2026-04-14|ETHT|10.06|17.3|||||outside top-20 gap cap (gap 11.3%)||
2026-04-14|ETHU|10.01|25.87|||||outside top-20 gap cap (gap 11.3%)||
2026-04-14|ETU|10.95|6.85|||||outside top-20 gap cap (gap 11.2%)||
2026-04-14|GLXU|8.56|7.34|||||outside top-20 gap cap (gap 10.1%)||
2026-04-14|GSAT|10.44|72.89|||||outside top-20 gap cap (gap 8.6%)||
2026-04-14|HODU|8.54|7.4532|||||outside top-20 gap cap (gap 14.0%)||
2026-04-14|HOOG|8.19|18.19|||||outside top-20 gap cap (gap 14.2%)||
2026-04-14|HOOW|8.07|22.8|||||outside top-20 gap cap (gap 8.1%)||
2026-04-14|HOOX|8.56|20.5409|||||low rel volume 0.3x < 2.0x||
2026-04-14|IMSR|8.04|6.59|||||outside top-20 gap cap (gap 8.0%)||
2026-04-14|IONL|12.49|11.37|||||low rel volume 0.9x < 2.0x||
2026-04-14|IONQ|9.27|29.76|||||outside top-20 gap cap (gap 9.7%)||
2026-04-14|IONX|12.9|21.79|||||low rel volume 0.7x < 2.0x||
2026-04-14|IRDM|9.07|35.235|||||outside top-20 gap cap (gap 8.9%)||
2026-04-14|IRE|8.38|20.16|||||outside top-20 gap cap (gap 9.6%)||
2026-04-14|IREG|8.98|14.8741|||||outside top-20 gap cap (gap 10.1%)||
2026-04-14|IREX|8.13|26.93|||||outside top-20 gap cap (gap 9.7%)||
2026-04-14|LCID|10.48|9.24|||||outside top-20 gap cap (gap 8.8%)||
2026-04-14|LUNL|9.78|19.22|||||outside top-20 gap cap (gap 12.1%)||
2026-04-14|MAKO|10.85|7.1|||||outside top-20 gap cap (gap 8.0%)||
2026-04-14|MGTX|8.83|9.63|||||outside top-20 gap cap (gap 8.8%)||
2026-04-14|MRAM|8.01|11.11|||||outside top-20 gap cap (gap 8.0%)||
2026-04-14|MRVU|11.01|58.04|||||outside top-20 gap cap (gap 8.7%)||
2026-04-14|MST|8.77|21.8167|||||outside top-20 gap cap (gap 9.6%)||
2026-04-14|MSTX|10.46|21.52|||||outside top-20 gap cap (gap 11.9%)||
2026-04-14|MVLL|11.45|44.68|||||outside top-20 gap cap (gap 8.4%)||
2026-04-14|NBIG|8.43|15.77|||||outside top-20 gap cap (gap 10.5%)||
2026-04-14|NBIL|11.02|22.32|||||outside top-20 gap cap (gap 11.1%)||
2026-04-14|NEBX|8.59|69.51|||||outside top-20 gap cap (gap 11.1%)||
2026-04-14|NNE|8.55|21.87|||||outside top-20 gap cap (gap 8.6%)||
2026-04-14|OCC|8.64|11.57|||||low rel volume 0.1x < 2.0x||
2026-04-14|OKLL|9.51|6.94|||||low rel volume 0.8x < 2.0x||
2026-04-14|OKLO|8.08|53.94|||||outside top-20 gap cap (gap 11.7%)||
2026-04-14|OMDA|8.48|12.12|||||outside top-20 gap cap (gap 8.5%)||
2026-04-14|ORCL|8.28|155.62|||||outside top-20 gap cap (gap 8.3%)||
2026-04-14|ORCU|8.16|10.54|||||low rel volume 1.9x < 2.0x||
2026-04-14|ORCX|8.13|29.53|||||low rel volume 1.5x < 2.0x||
2026-04-14|PLU|9.61|35.52|||||outside top-20 gap cap (gap 9.6%)||
2026-04-14|PONY|8.37|10.04|||||outside top-20 gap cap (gap 8.4%)||
2026-04-14|PRAX|10.41|317|||||outside top-20 gap cap (gap 8.2%)||
2026-04-14|PSTV|11.83|5.41|||||outside top-20 gap cap (gap 8.7%)||
