file	line	func	class	parse_mode	arg0	in_wrapper_def	is_test
agents/market_intelligence/broker/order_manager.py	3494	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	3730	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	3848	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4372	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4386	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	6828	check_position_coverage	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	7250	_sync_positions_for_mode	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	8580	_arm_breakeven_on_full_stop	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	8668	_arm_breakeven_on_full_stop	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	3587	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4396	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4407	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4415	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4424	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	8542	_arm_breakeven_on_full_stop	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4122	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/order_manager.py	4333	execute_partial_exit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	651	_handle_partial_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	1019	_process_entry_fill	default_markdown	<default>	name:msg	False	False
agents/market_intelligence/broker/trade_stream.py	1315	_handle_oco_parent_cancel	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	757	_handle_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	1188	_process_stop_fill	default_markdown	<default>	name:msg	False	False
agents/market_intelligence/broker/trade_stream.py	1509	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	2312	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	874	_process_entry_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	1658	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	455	_dispatch_trade_event	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	462	_dispatch_trade_event	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	861	_process_entry_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	983	_process_entry_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	2226	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
