ticker	scan_date	adv_dollar	n
LFST	2026-08-06	30894330.26	23
LFST	2026-08-10	31359656.769999996	21
LIND	2026-08-03	20869610	21
LNSR	2026-08-13	228674.25	23
LYTS	2026-08-20	5392109.14	23
MAKO	2026-08-07	819354.69	23
MARA	2026-08-20	436719475.88	23
MASS	2026-07-29	1841886.575	22
MBIN	2026-07-29	7066078.9350000005	22
MED	2026-08-04	1647172.82	22
MEI	2026-08-25	7768951.04	21
MF	2026-08-14	1435297.105	20
MITK	2026-08-07	10200362.600000001	23
MKTX	2026-07-30	55107067.65	22
MPLT	2026-07-29	19358664.5	22
MRAM	2026-08-04	16476055.925	22
MRDN	2026-08-03	953099.92	21
MRNA	2026-08-19	289459033.65500003	23
MRVI	2026-08-19	13128232.32	23
MRVI	2026-08-20	13128232.32	23
MRVL	2026-08-19	4246569096	23
MTW	2026-08-07	2870329.2800000003	23
NAKA	2026-08-21	524422.8	23
NBBK	2026-08-25	8533383.32	21
NCDL	2026-08-03	1925647.88	21
NCTY	2026-08-24	1114291.1	21
NGL	2026-08-05	2090831.6	23
NIPG	2026-07-27	88944.45999999999	20
NMAX	2026-08-14	4726300.5	23
NNE	2026-07-27	37512442.16	20
NPKI	2026-07-30	11753653.1	22
NTRA	2026-08-07	264577933.98000002	23
NUCL	2026-08-04	2246790.4	22
OBX	2026-08-14	579319.77	9
OCUL	2026-08-17	17572093.19	21
OEC	2026-08-06	3289021.6	23
OESX	2026-08-06	325528.2	23
OESX	2026-08-25	999273.3599999999	21
OSPN	2026-08-05	5620256.100000001	23
PAL	2026-08-21	1505221.49	23
PAY	2026-08-04	27308784.85	22
PBF	2026-07-30	175133685.75	22
PDFS	2026-08-07	23729805.04	23
PGY	2026-07-30	40611344.06	22
PICS	2026-08-04	2393210.965	22
PKOH	2026-08-06	2633935.35	23
PLPC	2026-07-30	28415785.97	22
PLRZ	2026-07-27	380540.98	20
PN	2026-07-30	85346.45	22
PN	2026-08-06	757087.6799999999	23
PNW	2026-07-27	118052556.70500001	20
PRE	2026-07-27	2713608.66	20
PRPL	2026-08-12	186905.8	23
PSIX	2026-08-04	13092986.57	22
PSQH	2026-08-25	488222.39999999997	21
PWR	2026-07-30	596308503.48	22
QBTS	2026-07-27	316743710.40000004	20
QLYS	2026-08-05	105946153.11	23
QMCO	2026-07-30	7926050.58	22
QMLS	2026-07-28	3799330.99	9
QMLS	2026-08-11	2167453.72	19
QUAD	2026-07-29	1187983.55	22
RACC	2026-07-30	67874.36750000001	20
RCMT	2026-08-17	826252.92	21
RCUS	2026-08-06	28823955.2	23
RDW	2026-08-07	145260923	23
REPL	2026-08-04	36325937.519999996	21
RFIL	2026-08-04	3580254.0999999996	22
RGEN	2026-07-28	134349280.25	21
RIGL	2026-08-05	13170237.12	23
RNA	2026-08-10	1334947.9	21
RNW	2026-08-11	6363813.73	22
ROCK	2026-08-05	14166514.229999999	23
