2026-04-14|AAOX|8.25|54.67|0.06|outside top-20 gap cap (gap 8.2%)||||||||||1||8.25|f|outside top-20 gap cap (gap 8.2%)
2026-04-14|ACET|10.87|6.35|0.02|outside top-20 gap cap (gap 10.6%)||||||||||1||10.87|f|outside top-20 gap cap (gap 10.6%)
2026-04-14|ALMU|11.4|15.35|0.19|outside top-20 gap cap (gap 8.7%)||||||||||1||11.4|f|outside top-20 gap cap (gap 8.7%)
2026-04-14|ALSN|8.77|129.6|0|outside top-20 gap cap (gap 8.8%)||||||||||1||8.77|f|outside top-20 gap cap (gap 8.8%)
2026-04-14|AOSL|9.57|27.39|0.87|outside top-20 gap cap (gap 9.6%)||||||||||1||9.57|f|outside top-20 gap cap (gap 9.6%)
2026-04-14|APLX|11.07|14.36|0.1|low rel volume 0.3x < 2.0x||||||||||1||11.07|f|low rel volume 0.3x < 2.0x
2026-04-14|APPX|8.11|29.59|0.14|outside top-20 gap cap (gap 8.1%)||||||||||1||8.11|f|outside top-20 gap cap (gap 8.1%)
2026-04-14|ARQQ|10.05|13.24|0.3|outside top-20 gap cap (gap 10.1%)||||||||||1||10.05|f|outside top-20 gap cap (gap 10.1%)
2026-04-14|ASST|9.07|11.58|0.12|outside top-20 gap cap (gap 8.8%)||||||||||1||9.07|f|outside top-20 gap cap (gap 8.8%)
2026-04-14|ASTN|10.7|9.93|0.23|outside top-20 gap cap (gap 10.7%)||||||||||1||10.7|f|outside top-20 gap cap (gap 10.7%)
2026-04-14|ASTX|8.63|50.63|0.06|outside top-20 gap cap (gap 8.1%)||||||||||1||8.63|f|outside top-20 gap cap (gap 8.1%)
2026-04-14|AVNS|68.41|14.53|0.28||64.8|MODERATE|routine|||||||1|64.8|68.41|t|(null)
2026-04-14|BE|13.4|176.67|0.02|low rel volume 0.3x < 2.0x||||||||||1||13.4|f|low rel volume 0.3x < 2.0x
2026-04-14|BEG|28.4|39.72|0.04|low rel volume 0.3x < 2.0x||||||||||1||28.4|f|low rel volume 0.3x < 2.0x
2026-04-14|BEX|27.34|27.76|0.04|low rel volume 0.5x < 2.0x||||||||||1||27.34|f|low rel volume 0.5x < 2.0x
2026-04-14|BKKT|8.26|8.72|0.23|outside top-20 gap cap (gap 8.3%)||||||||||1||8.26|f|outside top-20 gap cap (gap 8.3%)
2026-04-14|BMM|8.97|7.8|0|outside top-20 gap cap (gap 9.0%)||||||||||1||8.97|f|outside top-20 gap cap (gap 9.0%)
2026-04-14|BNAI|9.72|50.95|0.2|outside top-20 gap cap (gap 8.2%)||||||||||1||9.72|f|outside top-20 gap cap (gap 8.2%)
2026-04-14|CHPT|15.47|5.43|0.52|outside top-20 gap cap (gap 13.6%)||||||||||1||15.47|f|outside top-20 gap cap (gap 13.6%)
2026-04-14|CIFU|8.74|22.07|0.11|outside top-20 gap cap (gap 8.8%)||||||||||1||8.74|f|outside top-20 gap cap (gap 8.8%)
2026-04-14|CLSK|8.27|10.76|0.14|outside top-20 gap cap (gap 8.3%)||||||||||1||8.27|f|outside top-20 gap cap (gap 8.3%)
