=== QCOM_SCAN_LOG_ROW ===
id|scan_date|ticker|gap_pct|prev_close|rel_volume|filter_reason|ep_score|score_tier|catalyst_quality|created_at|scan_time_et|rank_by_gap|projected_vol_multiple|pm_rvol|adv|adv_source|minutes_since_open|gap_pct_rt|gap_pct_delayed|price_source|rt_price_age_s|prev_close_alpaca|reject_stage|current_price|prev_day_volume|today_volume|pm_rvol_baseline_n|days_since_prior_alert|extension_pct|quality_adv_dollar|atr_pct|market_cap|vol_percentile|prior_3m_change|float_shares|in_active_theme|llm_catalyst_quality|score_breakdown|ep_bar|score_side|rank_by_prescore
4679|2026-04-24|QCOM|10.27|133.95|0.58|score 32 < 50 (catalyst=routine)|32.4||routine|2026-04-24 13:30:10.259325+00|||||||||||||||||||||||||||||||
(1 row)
=== QCOM_MIN_BARS ===
et_time|open|high|low|close|volume
2026-04-24 09:30:00|145.61|148.16|145.41|148.15|1139830
2026-04-24 09:31:00|148.11|148.47|146.82|148.135|338028
2026-04-24 09:32:00|148.08|149.2|148.0579|148.79|307062
2026-04-24 09:33:00|148.795|150.66|148.61|150.36|511709
2026-04-24 09:34:00|150.36|151.5399|150.27|150.95|302899
2026-04-24 09:35:00|150.95|151.19|149.68|150.39|538308
2026-04-24 09:36:00|150.42|150.92|150.27|150.56|220903
2026-04-24 09:37:00|150.52|150.635|149.68|149.68|210409
2026-04-24 09:38:00|149.675|149.755|148.54|149.07|594095
2026-04-24 09:39:00|149.06|149.42|147.59|147.705|246836
2026-04-24 09:40:00|147.72|148|147.0601|147.76|233324
2026-04-24 09:41:00|147.63|147.85|146.88|147.16|123010
2026-04-24 09:42:00|147.11|147.145|146.2591|146.81|216408
2026-04-24 09:43:00|146.78|147.3|146.71|147.215|133731
2026-04-24 09:44:00|147.11|147.49|146.86|147.265|132043
2026-04-24 09:45:00|147.31|147.5|147.09|147.27|73333
2026-04-24 09:46:00|147.2408|148.4|147.2|147.8|219739
2026-04-24 09:47:00|147.805|147.825|147.16|147.5|110477
2026-04-24 09:48:00|147.51|148.4|147.51|148.06|101982
2026-04-24 09:49:00|148.0863|148.4|147.92|148.18|112637
2026-04-24 09:50:00|148.16|148.575|147.89|147.98|130481
2026-04-24 09:51:00|148.01|148.01|147.02|147.03|126020
2026-04-24 09:52:00|147.025|147.405|146.84|146.965|136164
2026-04-24 09:53:00|146.965|146.965|146.2|146.5|102966
2026-04-24 09:54:00|146.53|146.65|145.97|145.97|114646
2026-04-24 09:55:00|146.02|146.11|145.16|145.545|140801
2026-04-24 09:56:00|145.53|145.86|145.18|145.775|86867
2026-04-24 09:57:00|145.78|146.24|145.55|146.1|105023
2026-04-24 09:58:00|146.23|146.525|146.14|146.51|60937
2026-04-24 09:59:00|146.46|147.23|146.42|147.15|104489
2026-04-24 10:00:00|147.15|147.15|145.985|146.03|91699
(31 rows)
