ticker|alert_date|source|skip_category|skip_reason|ep_score|gap_pct|catalyst_quality|open_d0|close_d0|ret_1d|ret_5d|ret_20d|max_high_5d|max_high_20d|refreshed_et
TWFG|2026-05-15|scan_filter|pm_rvol_low|pre-mkt volume 100 < 25,000 shares||8.88||17.69|18.16|0.053702656868287124|0.06613906161673251||0.13604296212549447|0.25776710005652903|2026-06-12 17:04:13
WYY|2026-05-15|scan_filter|adv_low|quality filter: filter:adv_too_low: $477,973||8.57||10.09|10.3|-0.041625371655104056|0.08027750247770074||0.10562933597621402|0.29633300297324083|2026-06-12 17:04:13
ASBP|2026-05-18|scan_filter|atr_high|quality filter: filter:atr_too_high: 20.2% > 15.0%||10.16||5.66|6.68|0.030035335689045924|-0.10424028268551234|0.09363957597173149|0.2455830388692579|0.2455830388692579|2026-06-17 17:03:46
BIO|2026-05-18|high_unentered|high_unentered||54|10.984527128024896|strong|274.72|281.82|0.02304164239953401|0.08073675014560261||0.0832483983692485|0.16431275480489219|2026-06-11 17:04:16
BIO|2026-05-18|scan_filter|score_below_50|score 42 < 50 (catalyst=strong)|42|11.23|strong|274.72|281.82|0.02304164239953401|0.08073675014560261|0.055438264414676613|0.0832483983692485|0.16431275480489219|2026-06-17 17:03:46
BRC|2026-05-18|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||13.47||77|84.43|0.11090909090909098|0.14|0.10246753246753247|0.16766233766233762|0.18181818181818182|2026-06-17 17:03:46
CMPS|2026-05-18|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.78x (today 593,132 / baseline 761,266 n=23) < 1.0x||12.05||11.635|10.56|-0.1345079501504082|0.050709067468843995|-0.012462397937258236|0.07262569832402241|0.26858616244091105|2026-06-17 17:03:46
CMPS|2026-05-18|high_unentered|high_unentered||72|12.198649951783999|game_changer|11.635|10.56|-0.1345079501504082|0.050709067468843995||0.07262569832402241|0.26858616244091105|2026-06-11 17:04:16
CVV|2026-05-18|scan_filter|atr_high|quality filter: filter:atr_too_high: 20.5% > 15.0%||16.92||5.36|5.97|0.13619402985074616|0.1082089552238806|0.23320895522388058|0.29664179104477606|0.3171641791044775|2026-06-17 17:03:46
D|2026-05-18|high_unentered|high_unentered||32.4|11.19390895836709|mna|68.64|67.56|-0.007430069930070005|-0.019813519813519805||0.004807692307692283|0.004807692307692283|2026-06-11 17:04:16
D|2026-05-18|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||11||68.64|67.56|-0.007430069930070005|-0.019813519813519805|-0.0020396270396270478|0.004807692307692283|0.00888694638694638|2026-06-17 17:03:46
DSGN|2026-05-18|scan_filter|score_below_50|score 40 < 50 (catalyst=routine)|39.6|16.56|routine|15.76|10.7|-0.3343908629441624|-0.27664974619289334|-0.31979695431472077|0.07550761421319793|0.07550761421319793|2026-06-17 17:03:46
DXYZ|2026-05-18|scan_filter|cooldown|EP cooldown — alerted within last 60 days||12.98||53.8|53|-0.09888475836431228|0.11914498141263948|-0.47156133828996283|0.3544609665427511|0.3544609665427511|2026-06-17 17:03:46
FLY|2026-05-18|scan_filter|cooldown|EP cooldown — alerted within last 60 days||13.16||43.31|43.95|-0.017086123297160055|0.35788501500808123|-0.28538443777418615|0.43546525051951046|0.43546525051951046|2026-06-17 17:03:46
GHRS|2026-05-18|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.40x (today 8,527 / baseline 21,296 n=22) < 1.0x||10.57||23.135|21.68|-0.05165333909660688|0.0006483682731790368|-0.13637346012535123|0.030473308839420715|0.12124054462934945|2026-06-17 17:03:46
HCAI|2026-05-18|scan_filter|adv_low|quality filter: filter:adv_too_low: $929,069||71.66||9.04|11|0.16703539823008867|0.07079646017699122|-0.12389380530973444|0.8761061946902657|0.8761061946902657|2026-06-17 17:03:46
JLHL|2026-05-18|scan_filter|adv_low|quality filter: filter:adv_too_low: $846,876||11.35||25.18|23|-0.023034154090547987|-0.2378872120730738|-0.04884829229547261|0.3046068308181097|1.3014297061159652|2026-06-17 17:03:46
LAKE|2026-05-18|scan_filter|adv_low|quality filter: filter:adv_too_low: $811,900||14.22||10.045|10.57|0.06222000995520159|0.06022896963663518|-0.011448481831757115|0.11846689895470379|0.19064211050273777|2026-06-17 17:03:46
LICN|2026-05-18|scan_filter|adv_low|quality filter: filter:adv_too_low: $216,892||12.29||7.36|3.77|-0.6154891304347826|-0.8532608695652174|-0.5353260869565217|0.10054347826086947|0.10054347826086947|2026-06-17 17:03:46
MNTS|2026-05-18|scan_filter|atr_high|quality filter: filter:atr_too_high: 15.8% > 15.0%||10.09||5.82|6.13|-0.00171821305841936|1.6597938144329896|0.5996563573883161|1.7972508591065293|2.8144329896907214|2026-06-17 17:03:46
POET|2026-05-18|scan_filter|score_below_50|score 18 < 50 (catalyst=strong)|18|10.33|strong|17.02|14.21|-0.23207990599294945|-0.2156286721504113|-0.2570505287896592|0.008813160987074155|0.008813160987074155|2026-06-17 17:03:46
PRAA|2026-05-18|scan_filter|score_below_50|score 40 < 50 (catalyst=strong)|40.3|10.03|strong|15.05|14.86|-0.022591362126245837|-0.0006644518272426287|0.03986710963455147|0.04152823920265781|0.0724252491694352|2026-06-17 17:03:46
QNTM|2026-05-18|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $44M < $500M||10.87||7.45|6.27|-0.06040268456375841|-0.05369127516778528|-0.5114093959731544|0.4509932885906041|0.4509932885906041|2026-06-17 17:03:46
RAMP|2026-05-18|high_unentered|high_unentered||48|27.44436952124072|mna|37.8|37.77|-0.0031746031746031074|-0.003703703703703719||0.0029100529100528952|0.003174603174603295|2026-06-11 17:04:16
RAMP|2026-05-18|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||27.26||37.8|37.77|-0.0031746031746031074|-0.003703703703703719|-0.005026455026454967|0.0029100529100528952|0.003174603174603295|2026-06-17 17:03:46
RDW|2026-05-18|scan_filter|score_below_50|score 36 < 50 (catalyst=strong)|36|10.81|strong|15.39|13.96|-0.09616634178037689|0.43209876543209863|-0.12280701754385968|0.5009746588693957|0.7309941520467836|2026-06-17 17:03:46
SATG|2026-05-18|high_unentered|high_unentered||42|12.747353888633222|routine|24.5|21.57|-0.12214693877551018|-0.29591836734693877||0.019999999999999934|0.019999999999999934|2026-06-11 17:04:16
SHAZ|2026-05-18|high_unentered|high_unentered||72|11.348043760430182|game_changer|60.05|57.5|-0.1260616153205662|0.08243130724396341||0.1540383014154871|0.44779350541215657|2026-06-11 17:04:16
SHAZ|2026-05-18|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|12.18|routine|60.05|57.5|-0.1260616153205662|0.08243130724396341|0.27693588676103265|0.1540383014154871|0.44779350541215657|2026-06-17 17:03:46
TE|2026-05-18|scan_filter|cooldown|EP cooldown — alerted within last 60 days||19.49||6.7|7|0.026865671641791003|0.5597014925373133|0.2880597014925374|0.6119402985074628|0.8641791044776119|2026-06-17 17:03:46
TE|2026-05-18|high_unentered|high_unentered||48|18.165784832451504|routine|6.7|7|0.026865671641791003|0.5597014925373133||0.6119402985074628|0.8641791044776119|2026-06-11 17:04:16
UP|2026-05-18|scan_filter|atr_high|quality filter: filter:atr_too_high: 17.4% > 15.0%||10.83||5.602|5.63|0.07640128525526596|0.5458764726883255|0.344162799000357|0.7315244555515885|0.7799357372367011|2026-06-17 17:03:46
VCX|2026-05-18|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.84x (today 53,136 / baseline 63,163 n=23) < 1.0x||11.24||218.42|234.03|0.05672557458108239|0.15406098342642618|-0.5788389341635382|0.39639227176998454|0.39639227176998454|2026-06-17 17:03:46
WOLF|2026-05-18|scan_filter|score_below_50|score 39 < 50 (catalyst=strong)|38.9|10.18|strong|63.54|59.35|-0.07412653446647782|0.15675165250236073|-0.29178470254957506|0.2719546742209631|0.2719546742209631|2026-06-17 17:03:46
YSS|2026-05-18|scan_filter|cooldown|EP cooldown — alerted within last 60 days||15.74||25.26|25.93|0.016627078384798027|0.3135391923990498|0.2862232779097387|0.39766429136975445|0.440221694378464|2026-06-17 17:03:46
BKKT|2026-05-19|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $389M < $500M||18.81||9.93|9.68|0.025176233635448138|0.15709969788519643|-0.09264853977844914|0.3131923464249748|0.3131923464249748|2026-06-18 17:04:04
BKKT|2026-05-19|high_unentered|high_unentered||56.4|13.876146788990814|routine|9.93|9.68|0.025176233635448138|0.15709969788519643||0.3131923464249748|0.3131923464249748|2026-06-11 17:04:16
EDSA|2026-05-19|scan_filter|atr_high|quality filter: filter:atr_too_high: 30.1% > 15.0%||14.8||9.67|11.95|0.13029989658738364|-0.17580144777662876|-0.28852119958634953|0.31592554291623576|0.31592554291623576|2026-06-18 17:04:04
ENHA|2026-05-19|scan_filter|adv_low|quality filter: filter:adv_no_data||10.54||5.85|5.26|-0.1606837606837606|-0.5264957264957265|-0.3179487179487179|0.035897435897435895|0.035897435897435895|2026-06-18 17:04:04
EVTC|2026-05-19|moderate_alert|moderate_tier||54.7|11.25|strong|24.48|24.3|0.005310457516339829|-0.024509803921568686|0.09517973856209143|0.03635620915032682|0.16377450980392155|2026-06-18 17:04:04
EVTC|2026-05-19|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.01x (today 100 / baseline 13,731 n=21) < 1.0x||11.25||24.48|24.3|0.005310457516339829|-0.024509803921568686|0.09517973856209143|0.03635620915032682|0.16377450980392155|2026-06-18 17:04:04
PIII|2026-05-19|scan_filter|extension_gate|already up 157% in prior 5 days (extended)||29.12||10.06|10.49|-0.0367793240556661|0.5834990059642146|0.11630218687872762|0.5844930417495029|0.6789264413518886|2026-06-18 17:04:04
PURR|2026-05-19|scan_filter|score_below_50|score 7 < 50 (catalyst=strong)|7.2|11.17|strong|7.41|7.79|0.09581646423751675|0.1282051282051281|0.3238866396761134|0.232118758434548|0.5681511470985153|2026-06-18 17:04:04
RLAY|2026-05-19|scan_filter|score_below_50|score 33 < 50 (catalyst=strong)|33.1|10.41|strong|13|12.07|0.0015384615384615057|0.10999999999999997|0.19692307692307695|0.1884615384615384|0.34384615384615375|2026-06-18 17:04:04
STC|2026-05-19|moderate_alert|moderate_tier||50.4|10.54|strong|68.58|66.97|-0.006707494896471183|-0.0077282006415864855|-0.04491105278506851|0.009040536599591784|0.009040536599591784|2026-06-18 17:04:04
STC|2026-05-19|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.02x (today 101 / baseline 4,528 n=21) < 1.0x||10.54||68.58|66.97|-0.006707494896471183|-0.0077282006415864855|-0.04491105278506851|0.009040536599591784|0.009040536599591784|2026-06-18 17:04:04
WAVE|2026-05-19|scan_filter|adv_low|quality filter: filter:adv_too_low: $141,904||11.58||9.99|9.38|-0.0740740740740741|-0.12912912912912922|-0.23223223223223224|0|0.0010010010010009797|2026-06-18 17:04:04
ALAB|2026-05-20|high_unentered|high_unentered||100.8|15.68|strong|251.41|287.48|0.18467841374646982|0.38884690346446055|0.6589236704983891|0.41016666003738905|0.6753510202458136|2026-06-18 17:04:04
ARM|2026-05-20|high_unentered|high_unentered||100.8|16.36|strong|226.54|256.73|0.31645625496601054|0.47995938907036284|0.9398781672110885|0.5424207645448929|0.9983225920367265|2026-06-18 17:04:04
BCAX|2026-05-20|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.31x (today 6,155 / baseline 19,576 n=21) < 1.0x||14.93||20.21|20.43|0.031172686788718405|0.07619990103908951|0.1494309747649678|0.12914398812469072|0.17565561603166752|2026-06-18 17:04:04
CAVA|2026-05-20|scan_filter|score_below_50|score 32 < 50 (catalyst=routine)|31.7|12.84|routine|86.88|80.53|-0.06457182320441988|-0.09990791896869237|0.026473296500920944|0.02302025782688766|0.06255755064456725|2026-06-18 17:04:04
CBRS|2026-05-20|scan_filter|adv_low|quality filter: filter:adv_no_data||10.33||317.525|290.69|-0.11232186442012429|-0.23599716557751352|-0.26081410912526565|0.06550665301944733|0.06550665301944733|2026-06-18 17:04:04
CTEV|2026-05-20|scan_filter|atr_high|quality filter: filter:atr_too_high: 23.8% > 15.0%||12.31||18.07|21.24|0.3032650802434975|0.359158826784726|0.6281128942999448|0.3702268954067516|0.8605976757055894|2026-06-18 17:04:04
DYN|2026-05-20|high_unentered|high_unentered||84|17.86|strong|16.18|17.56|0.07354758961681096|0.1470951792336217|0.2237330037082819|0.17150803461063033|0.26606922126081584|2026-06-18 17:04:04
EMAT|2026-05-20|scan_filter|adv_low|quality filter: filter:adv_too_low: $907,759||11.43||7.14|7.56|0.16596638655462181|-0.015406162464985915|0.042016806722689176|0.2815126050420169|0.2815126050420169|2026-06-18 17:04:04
GH|2026-05-20|high_unentered|high_unentered||96|17.01|game_changer|100.84|114.97|0.17026973423244746|0.3211027370091233|0.3068226894089647|0.32591233637445466|0.33873462911543023|2026-06-18 17:04:04
IBRX|2026-05-20|high_unentered|window_missed|window:out_of_orb: detected 09:50 ET|72|10.18|strong|8.42|8.05|-0.08076009501187645|-0.08313539192399053|-0.1258907363420427|0.026128266033254233|0.026128266033254233|2026-06-18 17:04:04
IMVT|2026-05-20|scan_filter|score_below_50|score 48 < 50 (catalyst=routine)|48|22.4|routine|30.44|35.56|0.12122207621550594|0.10052562417871218|0.16097240473061766|0.19201708278580798|0.19201708278580798|2026-06-18 17:04:04
IMVT|2026-05-20|high_unentered|high_unentered||115.2|35.26|strong|30.44|35.56|0.12122207621550594|0.10052562417871218|0.16097240473061766|0.19201708278580798|0.19201708278580798|2026-06-18 17:04:04
MOB|2026-05-20|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $67M < $500M||10.69||5.58|5.17|-0.039426523297490995|0.39605734767025086|0.019713261648745577|0.4416308243727598|0.4416308243727598|2026-06-18 17:04:04
POET|2026-05-20|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.80x (today 10,534,220 / baseline 13,191,439 n=21) < 1.0x||10.18||14.75|14.78|0.004745762711864426|-0.10101694915254239|-0.17627118644067793|0.04406779661016952|0.08067796610169488|2026-06-18 17:04:04
QUIK|2026-05-20|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.49x (today 50,804 / baseline 103,949 n=21) < 1.0x||10.49||19.2|20.46|0.05052083333333346|0.12291666666666665|0.14062499999999997|0.23958333333333343|0.26718749999999997|2026-06-18 17:04:04
RFIL|2026-05-20|scan_filter|pm_rvol_low|filter:pm_rvol_too_low: pm_rvol=0.44x (today 845 / baseline 1,940 n=15) < 1.0x||14.3||16.81|17.565|0.062462819750148765|0.10172516359309941|0.0594883997620464|0.17608566329565742|0.1897679952409281|2026-06-18 17:04:04
ROIV|2026-05-20|scan_filter|catalyst_downgrade|routine catalyst, gap 10.4%||10.42||29.6|32.41|0.04324324324324316|0.009459459459459377|0.06182432432432426|0.10785472972972956|0.10785472972972956|2026-06-18 17:04:04
SLS|2026-05-20|scan_filter|score_below_50|score 20 < 50 (catalyst=strong)|20.4|12|strong|8.275|8.97|-0.0864048338368581|0.10936555891238663|-0.027190332326283945|0.1160120845921449|0.14924471299093647|2026-06-18 17:04:04
SLS|2026-05-20|high_unentered|high_unentered||100.8|19.89|strong|8.275|8.97|-0.0864048338368581|0.10936555891238663|-0.027190332326283945|0.1160120845921449|0.14924471299093647|2026-06-18 17:04:04
SUGP|2026-05-20|scan_filter|extension_gate|already up 66% in prior 5 days (extended)||19.59||4.41|4.46|-0.2811791383219955|-0.6621315192743764|-0.7687074829931972|0.14058956916099774|0.14058956916099774|2026-06-18 17:04:04
TATT|2026-05-20|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $468M < $500M||11.65||37.94|39.54|-0.01950448075909317|0.1025303110173959|0.23247232472324725|0.10977859778597784|0.2401159725882973|2026-06-18 17:04:04
TATT|2026-05-20|high_unentered|high_unentered||64.8|21.57|routine|37.94|39.54|-0.01950448075909317|0.1025303110173959|0.23247232472324725|0.10977859778597784|0.2401159725882973|2026-06-18 17:04:04
TE|2026-05-20|scan_filter|cooldown|EP cooldown — alerted within last 60 days||13.74||7.25|8.7|0.20275862068965525|0.4924137931034483|0.28965517241379307|0.576551724137931|0.7227586206896552|2026-06-18 17:04:04
AAP|2026-05-21|high_unentered|high_unentered||50.4|12.39266198282592|strong|57.59|58.62|0.006251085257857256|0.046014933148115965||0.07987497829484275|0.08213231463795792|2026-06-11 17:04:16
AAP|2026-05-21|scan_filter|score_below_50|score 30 < 50 (catalyst=routine)|30|12.12|routine|57.59|58.62|0.006251085257857256|0.046014933148115965||0.07987497829484275|0.08473693349539842|2026-06-18 17:04:04
AIAI|2026-05-21|scan_filter|adv_low|quality filter: filter:adv_no_data||17.2||19.3|14.57|-0.18756476683937828|-0.33523316062176167||0.01398963730569946|0.01398963730569946|2026-06-18 17:04:04
APLD|2026-05-21|scan_filter|cooldown|EP cooldown — alerted within last 60 days||15.18||42.37|48.02|0.08260561718196838|0.11588388010384716||0.19719140901581317|0.19719140901581317|2026-06-18 17:04:04
ARQQ|2026-05-21|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $205M < $500M||19.63||13.955|16.45|0.2533142242923682|0.1830884987459693||0.361519168756718|0.8416266571121461|2026-06-18 17:04:04
BIRK|2026-05-21|scan_filter|catalyst_downgrade|routine catalyst, gap 11.8%||11.85||36.74|39.67|0.12629286880783888|0.22672836145890032||0.23911268372346206|0.38078388677191055|2026-06-18 17:04:04
BIRK|2026-05-21|high_unentered|high_unentered||30|10.62932851550738|routine|36.74|39.67|0.12629286880783888|0.22672836145890032||0.23911268372346206|0.26918889493739795|2026-06-11 17:04:16
CRML|2026-05-21|scan_filter|cooldown|EP cooldown — alerted within last 60 days||10.14||11.36|11.14|-0.033450704225352026|-0.014084507042253534||0.06558098591549305|0.10915492957746481|2026-06-18 17:04:04
CTEV|2026-05-21|scan_filter|extension_gate|already up 53% in prior 5 days (extended)||11.86||20.93|23.55|0.035355948399426754|0.20019111323459157||0.23315814620162442|0.6063545150501674|2026-06-18 17:04:04
ENS|2026-05-21|scan_filter|score_below_50|score 43 < 50 (catalyst=routine)|43.2|11.36|routine|232.785|238.91|-0.002341216143651814|-0.020684322443456398||0.04946624567734182|0.04946624567734182|2026-06-18 17:04:04
GFS|2026-05-21|high_unentered|high_unentered||56.4|10.283938409379836|strong|78.07|81.35|0.09696426284104019|0.024337133341872753||0.18547457410016657|0.18547457410016657|2026-06-11 17:04:16
GFS|2026-05-21|scan_filter|score_below_50|score 2 < 50 (catalyst=routine)|2.4|12.79|routine|78.07|81.35|0.09696426284104019|0.024337133341872753||0.18547457410016657|0.18547457410016657|2026-06-18 17:04:04
HQ|2026-05-21|scan_filter|catalyst_downgrade|routine catalyst, gap 10.1%||10.14||11.54|11.99|0.20450606585788572|0.14384748700173314||0.26949740034662056|2.4012131715771234|2026-06-18 17:04:04
IMMX|2026-05-21|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $486M < $500M||10.4||9.1|8.67|-0.0351648351648352|-0.01098901098901095||0.07362637362637361|0.11978021978021977|2026-06-18 17:04:04
KVHI|2026-05-21|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $209M < $500M||59.76||10.64|10.7|0.09868421052631568|-0.12781954887218056||0.22180451127819542|0.22180451127819542|2026-06-18 17:04:04
MLGO|2026-05-21|scan_filter|adv_low|quality filter: filter:adv_too_low: $378,049||10.45||5.28|5.95|-0.003787878787878875|0.14015151515151503||0.19696969696969696|0.23104166666666665|2026-06-18 17:04:04
NBIS|2026-05-21|scan_filter|score_below_50|score 18 < 50 (catalyst=strong)|18|10.41|strong|211.74|219.93|0.014310002833663932|0.09138566166052703||0.10323982242372713|0.41116463587418534|2026-06-18 17:04:04
PPHC|2026-05-21|scan_filter|adv_low|quality filter: filter:adv_too_low: $754,578||17.54||10.8|11.81|0.06944444444444443|-0.03611111111111116||0.18148148148148138|0.18148148148148138|2026-06-18 17:04:04
PURR|2026-05-21|scan_filter|score_below_50|score 7 < 50 (catalyst=strong)|7.2|10.1|strong|8.53|8.48|-0.10082063305978892|0.17116060961313023||0.19988276670574445|0.36225087924970695|2026-06-18 17:04:04
QBTS|2026-05-21|scan_filter|duplicate_scan|already scored earlier today||20.21||21.76|25.74|0.35110294117647045|0.38511029411764697||0.44990808823529405|0.44990808823529405|2026-06-18 17:04:04
QBTS|2026-05-21|high_unentered|high_unentered||57.6|12.746113989637308|strong|21.76|25.74|0.35110294117647045|0.38511029411764697||0.44990808823529405|0.44990808823529405|2026-06-11 17:04:16
QBTS|2026-05-21|moderate_alert|moderate_tier||64.8|13.42|strong|21.76|25.74|0.35110294117647045|0.38511029411764697||0.44990808823529405|0.44990808823529405|2026-06-18 17:04:04
QBTX|2026-05-21|high_unentered|high_unentered||62.4|25.963149078726964|routine|15.04|19.88|0.694813829787234|0.7513297872340426||0.9142287234042553|0.9142287234042553|2026-06-11 17:04:16
QMCO|2026-05-21|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $128M < $500M||10.62||8.33|9.41|0.08643457382953189|0.16566626650660274||0.22208883553421363|1.2184873949579833|2026-06-18 17:04:04
QPUX|2026-05-21|high_unentered|high_unentered||54|18.524040253447644|routine|31.8|39.6|0.5499999999999999|0.5949685534591195||0.7156289308176101|0.7383427672955974|2026-06-11 17:04:16
QUBT|2026-05-21|scan_filter|duplicate_scan|already scored earlier today||13.39||10.47|11.41|0.17574021012416424|0.14231136580706782||0.27889207258834764|0.27889207258834764|2026-06-18 17:04:04
QUBT|2026-05-21|moderate_alert|moderate_tier||64.8|11.51|strong|10.47|11.41|0.17574021012416424|0.14231136580706782||0.27889207258834764|0.27889207258834764|2026-06-18 17:04:04
QUBX|2026-05-21|high_unentered|high_unentered||62.4|21.659751037344392|routine|14.66|17.29|0.36562073669849926|0.27216916780354694||0.5825306957708049|0.5825306957708049|2026-06-11 17:04:16
RGTI|2026-05-21|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||19.9||18.685|22.04|0.4139684238694142|0.3668718223173669||0.4870216751404871|0.5017393631255018|2026-06-18 17:04:04
RGTI|2026-05-21|high_unentered|high_unentered||68.4|10.693127962085306|strong|18.685|22.04|0.4139684238694142|0.3668718223173669||0.4870216751404871|0.5017393631255018|2026-06-11 17:04:16
RGTX|2026-05-21|high_unentered|high_unentered||62.4|20.907079646017706|routine|21.86|29.1|0.8655077767612078|0.690301921317475||1.0214135407136322|1.0279048490393412|2026-06-11 17:04:16
RL|2026-05-21|scan_filter|score_below_50|score 43 < 50 (catalyst=routine)|43.2|12.02|routine|363|374.9|0.0407162534435261|0.002479338842975144||0.08016528925619841|0.1614325068870524|2026-06-18 17:04:04
XNDU|2026-05-21|scan_filter|pm_rvol_low|filter:pm_rvol_too_low: pm_rvol=0.91x (today 688,512 / baseline 758,569 n=21) < 1.0x||10.05||14.56|14.45|0.04258241758241753|0.11057692307692316||0.3282898351648351|0.3282898351648351|2026-06-18 17:04:04
AKAN|2026-05-22|scan_filter|extension_gate|already up 73% in prior 5 days (extended)||11.89||28|27.12|-0.14785714285714288|-0.39392857142857146||0.06571428571428571|0.06571428571428571|2026-06-18 17:04:04
AKTX|2026-05-22|scan_filter|extension_gate|already up 68% in prior 5 days (extended)||89.3||9.92|18.27|0.7953629032258064|0.3538306451612903||1.9556451612903225|1.9556451612903225|2026-06-18 17:04:04
ASMB|2026-05-22|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $421M < $500M||17.49||28.61|28.34|0.004893393918210436|-0.059070255155539944||0.11464522894092978|0.11464522894092978|2026-06-18 17:04:04
CITR|2026-05-22|scan_filter|adv_low|quality filter: filter:adv_too_low: $251,532||10.83||7.5|7.28|-0.11333333333333329|-0.06799999999999998||0|0|2026-06-18 17:04:04
CRBP|2026-05-22|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $228M < $500M||11.77||11.46|11.35|-0.3097731239092496|-0.32373472949389187||0.12397905759162302|0.12397905759162302|2026-06-18 17:04:04
DELL|2026-05-22|scan_filter|catalyst_downgrade|routine catalyst, gap 10.7%||10.74||268.1|295.19|0.13793360686311062|0.7380082058933232||0.751100335695636|0.751100335695636|2026-06-18 17:04:04
DLLL|2026-05-22|high_unentered|high_unentered||42|11.517355834345413|routine|87.69|104.49|0.275803398335044|1.7656517276770443||1.7938191355912876|1.7938191355912876|2026-06-11 17:04:16
DXYZ|2026-05-22|scan_filter|outside_top20|outside top-20 gap cap (gap 10.3%)||10.35||64.9|66.64|-0.07226502311248081|-0.24314329738058563||0.12280431432973803|0.12280431432973803|2026-06-18 17:04:04
EL|2026-05-22|high_unentered|high_unentered||26.4|12.736028386769735|routine|88.96|88.32|-0.02652877697841726|-0.037994604316546714||0.038107014388489215|0.038107014388489215|2026-06-11 17:04:16
EL|2026-05-22|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||11.57||88.96|88.32|-0.02652877697841726|-0.037994604316546714||0.038107014388489215|0.038107014388489215|2026-06-18 17:04:04
ELVR|2026-05-22|scan_filter|score_below_50|score 18 < 50 (catalyst=strong)|18|12.61|strong|95.45|96.2|-0.05950759559979053|-0.07197485594552126||0.02776322682032469|0.0770036668412781|2026-06-18 17:04:04
FJET|2026-05-22|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $253M < $500M||10.79||5.23|7.2|0.23135755258126192|0.8164435946462714||0.8642256214149139|1.0171892925430208|2026-06-18 17:04:04
GSIT|2026-05-22|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $335M < $500M||12.3||9.97|9.66|0.05817452357071214|0.09378134403209615||0.16649949849548645|0.16649949849548645|2026-06-18 17:04:04
HLIT|2026-05-22|scan_filter|cooldown|EP cooldown — alerted within last 60 days||12.44||14.3|15.2|0.18181818181818166|0.10559440559440557||0.23636363636363628|0.23636363636363628|2026-06-18 17:04:04
HLIT|2026-05-22|high_unentered|high_unentered||32.4|12.598425196850405|routine|14.3|15.2|0.18181818181818166|0.10559440559440557||0.23636363636363628|0.23636363636363628|2026-06-11 17:04:16
IMAX|2026-05-22|scan_filter|score_below_50|score 43 < 50 (catalyst=routine)|43.2|14.71|routine|38.52|39.12|0.054257528556593874|0.051142263759086155||0.059190031152647815|0.17237798546209743|2026-06-18 17:04:04
IMAX|2026-05-22|high_unentered|high_unentered||36|13.695395513577333|mna|38.52|39.12|0.054257528556593874|0.051142263759086155||0.059190031152647815|0.12435098650051918|2026-06-11 17:04:16
IMRX|2026-05-22|high_unentered|high_unentered||78|14.75095785440614|strong|5.99|5.39|-0.12020033388981646|-0.24958263772954925||0.15025041736227035|0.15025041736227035|2026-06-11 17:04:16
IMRX|2026-05-22|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $338M < $500M||25.57||5.99|5.39|-0.12020033388981646|-0.24958263772954925||0.15025041736227035|0.15025041736227035|2026-06-18 17:04:04
INFQ|2026-05-22|scan_filter|cooldown|EP cooldown — alerted within last 60 days||20.14||15.9|16.35|-0.001257861635220099|0.11257861635220132||0.16792452830188678|0.3050314465408805|2026-06-18 17:04:04
LEE|2026-05-22|scan_filter|adv_low|quality filter: filter:adv_too_low: $447,362||13.23||9.5|9.4|0.023157894736842172|0.12736842105263166||0.25052631578947376|0.25052631578947376|2026-06-18 17:04:04
LION|2026-05-22|scan_filter|score_below_50|score -4 < 50 (catalyst=routine)|-4.3|13.63|routine|13.56|14.95|0.08628318584070796|0.022123893805309654||0.10656342182890857|0.23156342182890846|2026-06-18 17:04:04
LONA|2026-05-22|scan_filter|adv_low|quality filter: filter:adv_too_low: $249,750||11.62||10.46|10.33|-0.07552581261950295|-0.11185468451242846||0.09369024856596544|0.09369024856596544|2026-06-18 17:04:04
