RVMD|2026-04-13|scan_filter|low rel volume 1.9x < 2.0x|session_rvol_low||24.44|0.05||132.26|136.3|0.11152275820353849|0.10562528353243611|0.08989868440949657|0.1772266747315893|0.1772266747315893|2026-05-13 21:02:24.370789+00
SCLX|2026-04-13|scan_filter|low rel volume 0.0x < 2.0x|session_rvol_low||9.85|0.02||6.5|5.96|-0.08769230769230774|0.0684615384615385|0.06153846153846159|0.19538461538461532|0.8984615384615384|2026-05-13 21:02:24.370789+00
SDRL|2026-04-13|scan_filter|low rel volume 0.0x < 2.0x|session_rvol_low||8.23|0||47.97|48.25|-0.04085887012716283|-0.04002501563477177|0.04148426099645616|0.020846362309776944|0.0683760683760684|2026-05-13 21:02:24.370789+00
SGML|2026-04-13|scan_filter|low rel volume 0.2x < 2.0x|session_rvol_low||9.09|0.14||15.38|17.39|0.14239271781534457|0.4102730819245774|0.3198959687906372|0.41872561768530553|0.5916775032509752|2026-05-13 21:02:24.370789+00
SKYQ|2026-04-13|scan_filter|low rel volume 0.5x < 2.0x|session_rvol_low||42.1|0.16||18.8|11.62|-0.5106382978723405|-0.5143617021276595|-0.8117021276595745|0.03456914893617015|0.03456914893617015|2026-05-13 21:02:24.370789+00
STK|2026-04-13|scan_filter|low rel volume 0.0x < 2.0x|session_rvol_low||9.83|0||41.89|42.86|0.07424206254476007|0.09214609692050607|0.2372881355932203|0.107424206254476|0.24230126521842918|2026-05-13 21:02:24.370789+00
SYRE|2026-04-13|scan_filter|low rel volume 1.4x < 2.0x|session_rvol_low||24.78|0.06||67|63.27|-0.044626865671641716|0.09537313432835821|0.14074626865671652|0.11940298507462686|0.17611940298507459|2026-05-13 21:02:24.370789+00
TBRG|2026-04-13|scan_filter|low rel volume 0.7x < 2.0x|session_rvol_low||8.45|0.16||19.27|21.22|0.11779968863518421|0.20290607161390764|0.34353918007265183|0.2127659574468086|0.37571354436948634|2026-05-13 21:02:24.370789+00
TLX|2026-04-13|scan_filter|low rel volume 0.2x < 2.0x|session_rvol_low||8.16|0.21||11.03|11.24|-0.029918404351767913|-0.027198549410698002|-0.018132366273798668|0.040797824116047245|0.040797824116047245|2026-05-13 21:02:24.370789+00
TNGX|2026-04-13|scan_filter|low rel volume 0.0x < 2.0x|session_rvol_low||10.28|0.01||21|21.56|0.145952380952381|0.2566666666666667|0.11809523809523811|0.29333333333333333|0.35285714285714287|2026-05-13 21:02:24.370789+00
TRT|2026-04-13|scan_filter|low rel volume 0.0x < 2.0x|session_rvol_low||9.89|0.01||6.26|6.68|0.11501597444089467|0.07188498402555914|1.0447284345047925|0.15015974440894575|2.05111821086262|2026-05-13 21:02:24.370789+00
UONE|2026-04-13|scan_filter|low rel volume 0.5x < 2.0x|session_rvol_low||8.4|0.03||5.5|5.36|0.030909090909090896|0.14545454545454542|0.21818181818181823|0.1763636363636363|0.8945454545454545|2026-05-13 21:02:24.370789+00
WTIU|2026-04-13|scan_filter|low rel volume 0.0x < 2.0x|session_rvol_low||8.18|0.01||18.27|17.78|-0.10946907498631636|-0.16256157635467974|-0.08976464148877945|0.0015599343185550673|0.08921729611384778|2026-05-13 21:02:24.370789+00
XNDU|2026-04-13|scan_filter|low rel volume 0.2x < 2.0x|session_rvol_low||15.07|0.21||9.39|11.49|0.5793397231096911|1.9424920127795524|0.5734824281150159|3.519701810436634|3.519701810436634|2026-05-13 21:02:24.370789+00
AAL|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.1%)|outside_top20||8.1|0.04||12.055|12.13|0.009539610120282059|-0.02364164247200333|0.05267523849025299|0.11240149315636669|0.11240149315636669|2026-05-14 21:02:33.637285+00
AALG|2026-04-14|scan_filter|outside top-20 gap cap (gap 14.1%)|outside_top20||11.18|0.06||9.87|10.01|0.023302938196555264|-0.05490374873353598|0.0810233029381967|0.2211406281661601|0.2211406281661601|2026-05-14 21:02:33.637285+00
AAOX|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.2%)|outside_top20||8.25|0.06||56.17|49.78|-0.16094000356061952|-0.07833363005162895|0.23215239451664574|0.2262773722627736|0.48869503293573086|2026-05-14 21:02:33.637285+00
ACET|2026-04-14|scan_filter|outside top-20 gap cap (gap 10.6%)|outside_top20||10.87|0.02||6.84|7|0.15789473684210528|0.1783625730994153|0.16228070175438603|0.2850877192982455|0.3011695906432749|2026-05-14 21:02:33.637285+00
ALMU|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.7%)|outside_top20||11.4|0.19||16.235|14.26|0.024330150908530926|0.06436710809978452|0.6698490914690484|0.18878349245457354|0.9062149676624576|2026-05-14 21:02:33.637285+00
ALSN|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.8%)|outside_top20||8.77|0||129.72|128.26|-0.03006475485661429|0.012488436632747492|-0.07647240209682395|0.021430773974714778|0.06090040086339813|2026-05-14 21:02:33.637285+00
AOSL|2026-04-14|scan_filter|outside top-20 gap cap (gap 9.6%)|outside_top20||9.57|0.87||27.73|30.38|0.12549585286693113|0.410746483952398|0.36025964659213844|0.5088315903353768|0.8020194734944103|2026-05-14 21:02:33.637285+00
APLX|2026-04-14|scan_filter|low rel volume 0.3x < 2.0x|session_rvol_low||11.07|0.1||15.8|18.31|0.11392405063291143|0.14493670886075943|1.0873417721518985|0.34493670886075944|1.3423417721518986|2026-05-14 21:02:33.637285+00
APPX|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.1%)|outside_top20||8.11|0.14||31.24|31.84|0.1670934699103714|0.2030921895006403|0.2644046094750321|0.30153329065300905|0.38764404609475045|2026-05-14 21:02:33.637285+00
ARQQ|2026-04-14|scan_filter|outside top-20 gap cap (gap 10.1%)|outside_top20||10.05|0.3||13.65|13.97|0.189010989010989|0.08791208791208786|0.054945054945054944|0.29633699633699634|0.29633699633699634|2026-05-14 21:02:33.637285+00
ASST|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.8%)|outside_top20||9.07|0.12||12.22|12.43|0.10720130932896879|0.25286415711947624|0.3968903436988543|0.3273322422258591|0.4852700490998361|2026-05-14 21:02:33.637285+00
ASTN|2026-04-14|scan_filter|outside top-20 gap cap (gap 10.7%)|outside_top20||10.7|0.23||9.13|12.08|0.3691128148959473|0.5640744797371301|0.4216867469879517|0.7666484118291346|1.2836801752464402|2026-05-14 21:02:33.637285+00
ASTX|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.1%)|outside_top20||8.63|0.06||54.91|40.09|-0.2963030413403751|-0.4239664906210162|-0.5552722637042432|0.01912219996357684|0.01912219996357684|2026-05-14 21:02:33.637285+00
BE|2026-04-14|scan_filter|low rel volume 0.3x < 2.0x|session_rvol_low||13.4|0.02||202.78|219.03|0.05454186803432292|0.08940723937271917|0.3842094881151987|0.1556859650853141|0.494180885688924|2026-05-14 21:02:33.637285+00
BEG|2026-04-14|scan_filter|low rel volume 0.3x < 2.0x|session_rvol_low||28.4|0.04||51.5|58.64|0.06990291262135925|0.14750291262135928|0.7079611650485436|0.2825242718446601|1.0077669902912623|2026-05-14 21:02:33.637285+00
BEX|2026-04-14|scan_filter|low rel volume 0.5x < 2.0x|session_rvol_low||27.34|0.04||36.02|41.12|0.08439755691282617|0.15463631315935591|0.734869516935036|0.28761521377012755|1.0405330372015544|2026-05-14 21:02:33.637285+00
BKKT|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.3%)|outside_top20||8.26|0.23||9.24|8.98|0|-0.061688311688311716|-0.04004329004329015|0.06709956709956702|0.11580086580086583|2026-05-14 21:02:33.637285+00
BMM|2026-04-14|scan_filter|outside top-20 gap cap (gap 9.0%)|outside_top20||8.97|0||7.85|7.92|-0.0063694267515923345|-0.026751592356687896|-0.10828025477707003|0.0726114649681529|0.0726114649681529|2026-05-14 21:02:33.637285+00
BNAI|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.2%)|outside_top20||9.72|0.2||54.07|52.7|0.053264287035324626|-0.3954133530608471|-0.5598298501941927|0.07027926761605321|0.07027926761605321|2026-05-14 21:02:33.637285+00
CHPT|2026-04-14|scan_filter|outside top-20 gap cap (gap 13.6%)|outside_top20||15.47|0.52||5.95|6.26|0.048739495798319335|0.12773109243697475|0.047058823529411806|0.15462184873949578|0.22689075630252095|2026-05-14 21:02:33.637285+00
CIFU|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.8%)|outside_top20||8.74|0.11||23.92|24.11|-0.05685618729097002|-0.0710702341137125|0.07650501672240795|0.14331103678929755|0.42026337792642143|2026-05-14 21:02:33.637285+00
CLSK|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.3%)|outside_top20||8.27|0.14||11.235|11.27|0.002225189141077023|0.02447708055184694|0.19893190921228315|0.0890253671562084|0.338469069870939|2026-05-14 21:02:33.637285+00
CLSX|2026-04-14|scan_filter|low rel volume 0.4x < 2.0x|session_rvol_low||8.47|0.07||14.47|14.44|-0.006910850034554348|0.0276434001382169|0.34346924671734624|0.1693158258465792|0.6786454733932272|2026-05-14 21:02:33.637285+00
COIA|2026-04-14|scan_filter|outside top-20 gap cap (gap 10.4%)|outside_top20||11.48|0.15||5.79|5.97|0.15889464594127806|0.1386528497409327|0.24006908462867008|0.38169257340241797|0.38169257340241797|2026-05-14 21:02:33.637285+00
COIG|2026-04-14|scan_filter|outside top-20 gap cap (gap 12.3%)|outside_top20||10.84|0.08||7.3|7.58|0.1726027397260275|0.1587397260273973|0.2525616438356166|0.4027397260273973|0.4027397260273973|2026-05-14 21:02:33.637285+00
CONX|2026-04-14|scan_filter|outside top-20 gap cap (gap 12.8%)|outside_top20||12.8|0.14||8.95|9.3299|0.17206703910614538|0.15922905027932968|0.2569832402234638|0.4067039106145252|0.4067039106145252|2026-05-14 21:02:33.637285+00
CRDO|2026-04-14|scan_filter|outside top-20 gap cap (gap 13.3%)|outside_top20||15.83|0.05||154.23|159.57|0.09155157881086692|0.1886144070543993|0.2874927056992803|0.19600531673474691|0.3678921091875771|2026-05-14 21:02:33.637285+00
CRDU|2026-04-14|scan_filter|low rel volume 1.1x < 2.0x|session_rvol_low||30.82|0.17||38.94|41.27|0.17642526964560876|0.3772470467385723|0.524396507447355|0.3867488443759631|0.7254750898818696|2026-05-14 21:02:33.637285+00
CRMU|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.6%)|outside_top20||8.98|0.04||7.53|6.57|-0.11288180610889781|0.10225763612217802|0.1986586985391766|0.9163346613545815|0.9601593625498007|2026-05-14 21:02:33.637285+00
CRMX|2026-04-14|scan_filter|outside top-20 gap cap (gap 9.8%)|outside_top20||9.68|0.04||17.53|15.1|-0.12350256702795212|0.07244723331431828|0.17455790074158578|0.8978950370792925|0.932686822589846|2026-05-14 21:02:33.637285+00
CRWU|2026-04-14|scan_filter|outside top-20 gap cap (gap 10.3%)|outside_top20||8.09|0.02||9.5|9.86|0.06105263157894738|-0.002105263157894692|-0.18105263157894735|0.12105263157894741|0.3842105263157895|2026-05-14 21:02:33.637285+00
CVNX|2026-04-14|scan_filter|outside top-20 gap cap (gap 12.3%)|outside_top20||12.3|0.22||16.43|17.04|0.017650639074863004|0.1890139987827145|-0.014303104077906234|0.25715155203895323|0.28849665246500317|2026-05-14 21:02:33.637285+00
