q	scan_date	ticker	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	adv	pm_rvol	rank_by_gap
scan	2026-08-07	TE	10.43	5.55	0.18	outside top-20 gap cap (gap 10.4%)				46216170.561144		48
scan	2026-08-07	TEAM	32.22	110.17	0.85	already scored earlier today				4023906.902292	8.559	6
scan	2026-08-07	TILE	10.51	35.1	0.27	outside top-20 gap cap (gap 10.5%)				429985.0083505		45
scan	2026-08-07	TWLO	22.37	193.2	0.33	already scored earlier today				1834889.81168	4.23	11
scan	2026-08-07	ULBI	11.09	5.32	1.31	outside top-20 gap cap (gap 11.1%)				33825.3711225		39
scan	2026-08-07	UUUU	10.78	12.9	0.25	outside top-20 gap cap (gap 10.8%)				7546081.8724259995		43
scan	2026-08-07	VATE	43.59	7.41	58.24	quality filter: filter:adv_too_low: $745,625				109492.6471705		2
scan	2026-08-07	WLDN	17.81	73.69	0.21	already scored earlier today				321385.85141799995	4.429	18
scan	2026-08-07	YELP	15.26	25.04	0.03	filter:session_rvol_too_low: session_rvol=0.69x (today 29,523 / baseline 42,455 n=23) < 1.0x				1037417.7107004999	0.695	19
scan	2026-08-24	AEMD	8.058608058608066	2.73		filter:universe_prev_close_too_low: prior close $2.73 < $5.00 floor						
scan	2026-08-24	AEON	5.049453409682465	0.1921		filter:universe_prev_close_too_low: prior close $0.19 < $5.00 floor						
scan	2026-08-24	AERO	9.18	13.72	0.01	pre-mkt volume 3,037 < 25,000 shares				252892.4994255	2.634	5
scan	2026-08-24	AGRZ	6.716672349130581	0.2933		filter:universe_prev_close_too_low: prior close $0.29 < $5.00 floor						
scan	2026-08-24	AIFC	5.045125018493863	0.6759		filter:universe_prev_close_too_low: prior close $0.68 < $5.00 floor						
scan	2026-08-24	AIFU	6.811388169665788	18.4999		filter:universe_prev_day_illiquid: prior-day volume 47,973 < 50,000 shares floor						
scan	2026-08-24	AIXI	5.987762237762233	0.4576		filter:universe_prev_close_too_low: prior close $0.46 < $5.00 floor						
scan	2026-08-24	AKTX	7.006369426751602	7.85		filter:universe_prev_day_illiquid: prior-day volume 10,988 < 50,000 shares floor						
scan	2026-08-24	ALVO	7.2234762979684035	4.43		filter:universe_prev_close_too_low: prior close $4.43 < $5.00 floor						
scan	2026-08-24	AMC	7.36078431372549	2.55		filter:universe_prev_close_too_low: prior close $2.55 < $5.00 floor						
scan	2026-08-24	ANY	6.130268199233722	2.61		filter:universe_prev_close_too_low: prior close $2.61 < $5.00 floor						
scan	2026-08-24	APRE	6.356395439637681	0.6403		filter:universe_prev_close_too_low: prior close $0.64 < $5.00 floor						
scan	2026-08-24	ARAI	5.7340382269215135	0.2459		filter:universe_prev_close_too_low: prior close $0.25 < $5.00 floor						
scan	2026-08-24	ARAY	6.405693950177921	0.281		filter:universe_prev_close_too_low: prior close $0.28 < $5.00 floor						
scan	2026-08-24	ARBB	5.696703296703294	4.55		filter:universe_prev_close_too_low: prior close $4.55 < $5.00 floor						
scan	2026-08-24	AREN	8.06754221388367	0.9061		filter:universe_prev_close_too_low: prior close $0.91 < $5.00 floor						
scan	2026-08-24	ARTL	5.491329479768792	0.692		filter:universe_prev_close_too_low: prior close $0.69 < $5.00 floor						
scan	2026-08-24	AVAT	10.17951856385149	0.4902		filter:universe_prev_close_too_low: prior close $0.49 < $5.00 floor						
scan	2026-08-24	AVX	10.942989214175647	3.245		filter:universe_prev_close_too_low: prior close $3.25 < $5.00 floor						
scan	2026-08-24	AXIL	17.97385620915032	6.12		filter:universe_prev_day_illiquid: prior-day volume 28,762 < 50,000 shares floor						
scan	2026-08-24	AZIO	5.172413793103453	1.16		filter:universe_prev_close_too_low: prior close $1.16 < $5.00 floor						
