6	KURA	2026-04-17	magna53	9.57	9.495	9.56	9.495	2092	2026-04-17 15:35:44.545492+00	2026-04-21 16:32:41.872291+00	20.919999999999554			closed	[{"pnl": 20.919999999999554, "time": "2026-04-21T16:32:41.872079", "price": 9.58, "reason": "stop_hit", "shares": 2092.0, "source": "websocket", "attempt": 1}]
17	BSX	2026-04-23	magna53	66.744726	65.57	66.735	65.57	201	2026-04-23 13:37:23.787949+00	2026-04-23 15:49:04+00	-252.2			closed	[{"at": "2026-04-23T15:49:04Z", "qty": 201, "price": 65.49, "reason": "manual_exit_bracket_bug"}]
26	INTC	2026-04-24	magna53	84.036076	82.022	84	82.022	237	2026-04-24 13:35:36.352928+00	2026-04-24 15:47:44.184025+00	-477.34			closed	[{"pnl": -477.34, "time": "2026-04-24 15:47:44.184025+00", "price": 82.022, "reason": "stop_hit", "shares": 237, "source": "manual_cleanup_2026-04-24_oto_id_bug", "attempt": 1}]
34	OMCL	2026-04-28	magna53	46	45	45.95	45	432	2026-04-28 13:53:49.655179+00	2026-04-28 14:13:09.36006+00	-1506.6302400000022			closed	[{"pnl": -1078.9502400000015, "time": "2026-04-28T13:36:08.363775", "price": 43.5, "reason": "stop_hit", "shares": 432.0, "source": "websocket", "attempt": 1}, {"pnl": -427.68000000000086, "time": "2026-04-28T14:13:09.359857", "price": 45.01, "reason": "stop_hit", "shares": 432.0, "source": "websocket", "attempt": 2}]
56	GOOGL	2026-05-01	9m_day2	382.61	379.43	382.41	379.43	51	2026-05-01 13:34:21.575631+00	2026-05-19 13:30:15.667414+00	618.9699999999984	408.6100000000000136424205265939235687255859375	382.76999999999998181010596454143524169921875	closed	[{"pnl": 184.10999999999973, "time": "2026-05-06T13:31:18.569559", "price": 393.44, "reason": "partial_profit", "shares": 17, "order_id": "5073291f-4522-4d6c-91d5-37156457dffc"}, {"pnl": 434.85999999999876, "time": "2026-05-19T13:30:15.667171", "price": 395.4, "reason": "stop_hit", "shares": 34.0, "source": "websocket", "attempt": 1}]
57	TEAM	2026-05-01	magna53	85.19	82.79	85.13	82.79	229	2026-05-01 15:31:45.135497+00	2026-05-06 20:05:00.033702+00	-269.019909999998			closed	[{"pnl": -595.8099099999986, "time": "2026-05-01T14:21:05.211477", "price": 82.55821, "reason": "stop_hit", "shares": 229.0, "source": "websocket", "attempt": 1}, {"pnl": 328.32000000000056, "time": "2026-05-06T13:32:20.299374", "price": 89.51, "reason": "partial_profit", "shares": 76, "order_id": "9c2d2250-4d77-4910-b888-71730efcc267"}, {"pnl": -1.53, "time": "2026-05-06T13:51:08", "price": 85.18, "reason": "stop_hit", "shares": 153, "source": "backfill_5_07", "attempt": 2, "order_id": "3069e3fe-8283-4b42-b704-890bbfdf9720"}]
72	FTRE	2026-05-05	magna53	14.31	13.96	14.3119	13.96	1384	2026-05-05 13:48:57.657426+00	2026-05-12 13:41:55.999822+00	138.23999999999953	15.46000000000000085265128291212022304534912109375	14.83500000000000085265128291212022304534912109375	closed	[{"pnl": 193.61999999999998, "time": "2026-05-11T13:32:45.193550", "price": 14.73, "reason": "partial_profit", "shares": 461, "order_id": "fc255617-7209-471c-8110-b8da223d0980"}, {"pnl": -55.38000000000046, "time": "2026-05-12T13:41:55.999544", "price": 14.25, "reason": "stop_hit", "shares": 923.0, "source": "websocket", "attempt": 1}]
82	SMCI	2026-05-06	magna53	32.567614	31.26	32.5	31.26	612	2026-05-06 13:38:36.254991+00	2026-05-12 13:56:55.847281+00	-639.339263999999	36.36999999999999744204615126363933086395263671875	32.77000000000000312638803734444081783294677734375	closed	[{"pnl": -720.7695360000012, "time": "2026-05-06T13:35:41.604111", "price": 31.228448, "reason": "stop_hit", "shares": 612.0, "source": "websocket", "attempt": 1}, {"pnl": 82.13692800000084, "time": "2026-05-12T13:34:43.472983", "price": 32.970246, "reason": "partial_profit", "shares": 204, "order_id": "4baad913-cee0-44b7-90a2-d70eb7812df4"}, {"pnl": -0.7066559999987589, "time": "2026-05-12T13:56:55.847113", "price": 32.565882, "reason": "stop_hit", "shares": 408.0, "source": "websocket", "attempt": 2}]
81	AMD	2026-05-06	magna53	413.309375	405.63	413.26	405.63	48	2026-05-06 14:53:45.203749+00	2026-05-07 16:07:41.86522+00	-831.4799040000025			closed	[{"pnl": -460.9499040000019, "time": "2026-05-06T14:19:50.400826", "price": 405.571043, "reason": "stop_hit", "shares": 48.0, "source": "websocket", "attempt": 1}, {"pnl": -370.53000000000065, "time": "2026-05-07T16:07:41.865061", "price": 405.59, "reason": "stop_hit", "shares": 48.0, "source": "websocket", "attempt": 2}]
120	MRAM	2026-05-11	magna53	36.5	34.07	36.425	34.07	419	2026-05-11 13:50:17.02788+00	2026-05-11 13:59:15.309283+00	-2199.709776			closed	[{"pnl": -1101.9297760000013, "time": "2026-05-11T13:42:02.739966", "price": 33.890096, "reason": "stop_hit", "shares": 419.0, "source": "websocket", "attempt": 1}, {"pnl": -1097.7799999999988, "time": "2026-05-11T13:59:15.309119", "price": 33.88, "reason": "stop_hit", "shares": 419.0, "source": "websocket", "attempt": 2}]
