cohort	ticker	scan_date	max_gap	prev_close	n_min_bars	has_930	artifact	art_reason	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936
excluded	TENX	2026-06-12	11.37	10.73	343	True	False		settled		True	11.6	11.12	12.08	0.33333333333333337		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		11.12					False
excluded	ARQQ	2026-06-15	23.13	13.6	386	True	False		settled		True	15.4	13.379999999999999	17.46	3.9551155115511536		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		13.379999999999999					False
excluded	LIXT	2026-06-15	12.6	6.19	131	True	False		settled		True	6.38	6.25	6.54	0.3076923076923105		stop_hit	True	settled		True	6.38	6.25	6.54	0.26256410256410573		stop_hit	True
excluded	QMCO	2026-06-15	15.79	13.74	375	True	False		settled		True	15.7118	14.66	16.7754	-1.0		stop_hit	False	settled		True	15.78	14.66	16.979999999999997	-1.0		stop_hit	False
excluded	LIXT	2026-06-16	18.9	6.72	230	True	False		settled		True	6.91	6.77	7.050000000000001	-1.0		stop_hit	False	settled		True	6.94	6.77	7.1400000000000015	-1.0		stop_hit	False
excluded	OSS	2026-06-16	14.19	17.23	383	True	False		settled		True	18.84	17.959999999999997	19.720000000000002	0.33333333333333337		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		17.959999999999997					False
excluded	SHMD	2026-06-16	13	6.23	381	True	False		settled		True	7.0	6.5600000000000005	7.4399999999999995	-1.0		stop_hit	False	settled		True	7.0	6.5600000000000005	7.4399999999999995	-1.0		stop_hit	False
excluded	CLPT	2026-06-17	42.28	13.34	383	True	False		settled		True	18.15	15.190000000000005	21.109999999999992	0.033445945945947284		stop_hit	False	settled		True	18.15	15.190000000000005	21.109999999999992	0.033445945945947284		stop_hit	False
excluded	PDYN	2026-06-17	10.13	5.97	388	True	False		settled		True	6.34	5.98	6.699999999999999	1.5555555555555576		sma_trail_stop	True	settled		True	6.34	5.98	6.699999999999999	1.5555555555555576		sma_trail_stop	True
excluded	TRT	2026-06-17	12.23	12.59	377	True	False		settled		True	13.79	13.2836	14.296399999999998	-0.2459189046866772		stop_hit	True	settled		True	13.79	13.2836	14.296399999999998	-0.2459189046866772		stop_hit	True
