2026-05-28|PHR|22.56|routine|1446080.803449|polygon_20d|9.13|1.3|0.05|1.19|54|MODERATE|
2026-05-28|RCAT|16.07|strong|10622429.063669499|polygon_20d|10.67||0.19|19.512|100.8|HIGH|
2026-05-28|SNOW|35.23|routine|7528485.683927501|polygon_20d|175.26|9.6|0.37|3.944|53.3|MODERATE|
2026-05-28|UMAC|46.46|routine|4962110.478743|polygon_20d|18.83|36|2.31|18.967|36||score 36 < 50 (catalyst=routine)
2026-05-29|ASAN|11.56|routine|7137556.425305501|polygon_20d|6.66|2.3|0.09|1.258|53.3|MODERATE|
2026-05-29|BHVN|11.47|strong|2025603.1681195|polygon_20d|10.24|2.5|0.13|2.552|64.8|MODERATE|
2026-05-29|BRUN|11.06|routine|1656488.497823|polygon_20d|32.91|6.2|0.4|1.981|46.1||score 46 < 50 (catalyst=routine)
2026-05-29|CHA|12.48|routine|520527.6553055|polygon_20d|10.16||0.29||50.4|MODERATE|
2026-05-29|DELL|36.26|strong|6696352.199104|polygon_20d|317.05||0.17|26.241|115.2|HIGH|
2026-05-29|HPE|10.91|routine|16730682.751418501|polygon_20d|38.21|4.4|0.17|3.044|0||score 0 < 50 (catalyst=routine)
2026-05-29|NTAP|27.75|routine|2369406.75509|polygon_20d|142.4|9.5|0.61|6.474|31.7||score 32 < 50 (catalyst=routine)
2026-05-29|NXT|14.1|routine|2461801.963125|polygon_20d|137.17|3.9|0.25|2.052|14.4||score 14 < 50 (catalyst=routine)
2026-05-29|OKTA|18.94|routine|3172326.3526290003|polygon_20d|94.72|11.2|0.72|9.002|28.8||score 29 < 50 (catalyst=routine)
2026-05-29|PD|18.15|routine|1952024.7212975|polygon_20d|7.44||0.03|16.733|50.4|MODERATE|
2026-05-29|PENG|11.43|strong|3339327.870751|polygon_20d|54.07|3.5|0.18|1.721|28.8||score 29 < 50 (catalyst=strong)
2026-05-29|QURE|14.61|routine|1741232.636302|polygon_20d|24.85|9|0.58|6.591|24.5||score 24 < 50 (catalyst=routine)
2026-05-29|SOFI|11.14|routine|66272094.269214004|polygon_20d|16.97||0.29|3.281|27.6||score 28 < 50 (catalyst=routine)
2026-06-01|ALOY|14.25|strong|1864398.764413|polygon_20d|9.16|4.7|0.3|2.382|86.4|HIGH|
2026-06-01|EWTX|16.51|routine|1133521.3031755001|polygon_20d|34.16|11.1|0.71|10.573|42||score 42 < 50 (catalyst=routine)
2026-06-01|IBM|10.7|strong|8210881.0369855|polygon_20d|297.8||0.39|13.653|36||score 36 < 50 (catalyst=strong)
2026-06-01|JBIO|10.27|routine|609815.2836955|polygon_20d|21.04||0.03|5.867|-7.2||score -7 < 50 (catalyst=routine)
2026-06-01|NOW|10.31|strong|29335437.802869998|polygon_20d|124.37||0.06|4.879|54.7|MODERATE|
2026-06-01|PURR|17.22|routine|10821888.0801895|polygon_20d|9.99|6.8|0.26|2.546|10.1||score 10 < 50 (catalyst=routine)
2026-06-01|SAIC|15.51|routine|513858.063281|polygon_20d|104.2|3.4|0.13|4.146|50.4|MODERATE|
2026-06-01|SKM|10.69|strong|2526776.9354189998|polygon_20d|37.34|7.6|0.49|4.687|50.4|MODERATE|
2026-06-01|TNDM|10.52|strong|2764750.587469|polygon_20d|17.2||0.01|4.812|54.7|MODERATE|
2026-06-02|AVAH|12.14|routine|1495919.127812|polygon_20d|6.67||0.01|1.86|33.1||score 33 < 50 (catalyst=routine)
2026-06-02|CAMT|10.37|strong|492871.7926315|polygon_20d|163.09||0.05|6.085|50.4|MODERATE|
2026-06-02|GNRC|10.3|strong|865697.348446|polygon_20d|269.26||0.03|7.935|43.2||score 43 < 50 (catalyst=strong)
2026-06-02|GRRR|17.64|strong|1019394.6003630001|polygon_20d|21.14||0.36|7.418|100.8|HIGH|
2026-06-02|HPE|25.28|strong|16730682.751418501|polygon_20d|47||0.11|74.854|115.2|HIGH|
2026-06-02|HSAI|10.33|routine|1851359.910437|polygon_20d|20.03||0.12|6.207|33.1||score 33 < 50 (catalyst=routine)
2026-06-02|LAC|11.43|strong|12341472.845755499|polygon_20d|5.51||0.05|4.983|54.7|MODERATE|
2026-06-02|LEGN|12.58|routine|2465150.346796|polygon_20d|25.51|1.9|0.12|1.402|9.6||score 10 < 50 (catalyst=routine)
2026-06-02|MCHP|10.63|strong|12831716.268483|polygon_20d|91.52||0.02|1.346|21.6||score 22 < 50 (catalyst=strong)
2026-06-02|MRVL|24.87|strong|29916838.215758|polygon_20d|219.43||0.23|16.809|115.2|HIGH|
2026-06-02|PENG|14.37|strong|3501069.6912289998|polygon_20d|59.71|2.5|0.16|1.349|20.4||score 20 < 50 (catalyst=strong)
2026-06-02|STM|11.46|strong|11911961.8664125|polygon_20d|69.02|2.8|0.18|1.396|31.7||score 32 < 50 (catalyst=strong)
2026-06-03|ABVX|15.14|routine|1180246.8789575|polygon_20d|72.5||0.51|14.65|50.4|MODERATE|
2026-06-03|GME|11.52|routine|6628269.8733165|polygon_20d|20.92|10.4|0.4|3.297|36||score 36 < 50 (catalyst=routine)
2026-06-03|NN|10.22|routine|2502506.6338855|polygon_20d|20.05|4.5|0.29|4.044|30||score 30 < 50 (catalyst=routine)
2026-06-03|NVTS|15.39|strong|37372324.1854085|polygon_20d|25.86||0.07|3.27|84|HIGH|
2026-06-04|ELPC|14.52|routine|275885.0279745|polygon_20d|11.36|0|0||18||score 18 < 50 (catalyst=routine)
2026-06-04|PGY|10.21|strong|4062241.0291835|polygon_20d|13.96|3.1|0.2|1.45|66|HIGH|
2026-06-04|RUM|15.49|strong|3214256.1792405|polygon_20d|8.33||0.17|2.983|84|HIGH|
2026-06-05|AGX|10.96|game_changer|296734.4535665|polygon_20d|689.43||0.01|6.778|86.4|HIGH|
2026-06-05|MRLN|27.99|routine|2146737.8850755002|polygon_20d|7.18||1.34|481.449|60|MODERATE|
2026-06-05|TTAN|16.28|strong|1435227.910682|polygon_20d|74.33||0|3.281|100.8|HIGH|
2026-06-08|CGEM|11.03|strong|986328.061802|polygon_20d|13.51||0.01|9.421|42||score 42 < 50 (catalyst=strong)
2026-06-08|NRIX|11.5|game_changer|1057088.3050179998|polygon_20d|14.64||3.68|1436.935|75.6|HIGH|
2026-06-08|TNGX|37.44|routine|3223894.7701709997|polygon_20d|20.22|25.4|1.63|23.712|40||score 40 < 50 (catalyst=routine)
2026-06-09|ACLS|12.15|routine|591028.6464140001|polygon_20d|154.76|3.1|0.2|2.413|6||score 6 < 50 (catalyst=routine)
2026-06-09|AVO|11.18|routine|1097610.5463625|polygon_20d|10.11|7|0.45|8.345|46.1||score 46 < 50 (catalyst=routine)
2026-06-09|BAP|11.34|strong|554135.0874795001|polygon_20d|319.89|1.9|0.12|1.921|36||score 36 < 50 (catalyst=strong)
2026-06-09|CECO|10.58|routine|951269.5945979999|polygon_20d|80.53||0.05|19.325|6||score 6 < 50 (catalyst=routine)
2026-06-09|VECO|15.06|routine|1353997.3274055|polygon_20d|61.04|6.4|0.41|4.764|8.4||score 8 < 50 (catalyst=routine)
2026-06-09|VSH|11.64|routine|8546092.889705501|polygon_20d|57.22|3.7|0.24|2.011|0||score 0 < 50 (catalyst=routine)
2026-06-10|CASY|14.06|routine|495288.2224275|polygon_20d|761.18|5.1|0.33|6.139|38.4||score 38 < 50 (catalyst=routine)
2026-06-10|CBRL|25.33|routine|1061825.0283535|polygon_20d|36.3|17.9|0.92|16.482|54.7|MODERATE|
2026-06-11|ELVN|18.33|strong|726611.6913205001|polygon_20d|37||0.03|12.133|84|HIGH|
