scan_date	ticker	scan_et	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	rank_by_gap	projected_vol_multiple	pm_rvol	adv	adv_source	minutes_since_open	price_source
2026-07-27	PLRZ	2026-07-27 08:55:00.043076	12.4	14.68	0.43	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:00:00.317366	12.49	14.68	0.43	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:00:00.318441	12.49	14.68	0.43	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:05:00.051866	12.47	14.68	0.45	quality filter: filter:adv_too_low: $341,872				8			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:10:00.071818	12.53	14.68	0.45	quality filter: filter:adv_too_low: $341,872				6			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:15:00.044537	12.59	14.68	0.46	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:20:00.063744	12.33	14.68	0.49	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:25:00.083169	12.26	14.68	0.49	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:30:00.047743	12.26	14.68	0.5	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d	1	polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:31:00.020337	12.26	14.68	0.5	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d	1	polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:35:00.074552	12.19	14.68	0.5	quality filter: filter:adv_too_low: $341,872				6			59527.0745715	polygon_20d	5	polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:40:00.049682	12.19	14.68	0.5	quality filter: filter:adv_too_low: $341,872				7			59527.0745715	polygon_20d	10	polygon_delayed
2026-07-27	PLRZ	2026-07-27 09:45:00.041052	12.4	14.68	0.52	quality filter: filter:adv_too_low: $341,872				7	13.5		59527.0745715	polygon_20d	15	polygon_delayed
2026-07-27	PNW	2026-07-27 09:15:00.044537	10.55	106.06	0.01	routine catalyst, gap 10.6%				8		23.067	1286153.6713255001	polygon_20d		polygon_delayed
2026-07-27	PNW	2026-07-27 09:20:00.063744	10.55	106.06	0.01	routine catalyst, gap 10.6%				9		23.067	1286153.6713255001	polygon_20d		polygon_delayed
2026-07-27	PNW	2026-07-27 09:25:00.083169	10.55	106.06	0.01	routine catalyst, gap 10.6%				8		22.146	1286153.6713255001	polygon_20d		polygon_delayed
2026-07-27	PNW	2026-07-27 09:30:00.047743	10.55	106.06	0.01	routine catalyst, gap 10.6%				8		1.132	1286153.6713255001	polygon_20d	1	polygon_delayed
