245	WULF	2026-07-06	magna53	24.62	23.8	24.61	23.8	40	2026-07-06 13:33:00.613734+00	2026-07-06 13:57:29.842241+00	-32.80000000000001	25.010000000000001563194018672220408916473388671875	24.434999999999998721023075631819665431976318359375	closed	[{"pnl": -32.80000000000001, "time": "2026-07-06T13:57:29.841951+00:00", "price": 23.8, "reason": "stop_hit", "shares": 40.0, "source": "websocket", "attempt": 1}]
250	CRCL	2026-07-10	magna53	70.65	69.29	70.66	69.29	14	2026-07-10 13:31:05.873424+00	2026-07-10 13:40:34.350753+00	-19.180000000000064	70.650000000000005684341886080801486968994140625	70.650000000000005684341886080801486968994140625	closed	[{"pnl": -19.180000000000064, "time": "2026-07-10T13:40:34.350606+00:00", "price": 69.28, "reason": "stop_hit", "shares": 14.0, "source": "websocket", "attempt": 1}]
251	WDFC	2026-07-10	magna53	296.235	287.06	295	287.06	2	2026-07-10 13:31:19.680275+00	2026-07-10 13:40:35.912242+00	-19.029999999999973	296.2350000000000136424205265939235687255859375	296.2350000000000136424205265939235687255859375	closed	[{"pnl": -19.029999999999973, "time": "2026-07-10T13:40:35.912087+00:00", "price": 286.72, "reason": "stop_hit", "shares": 2.0, "source": "websocket", "attempt": 1}]
258	TSEM	2026-07-14	magna53	274	266.34	273.25	266.34	3	2026-07-14 13:32:52.439996+00	2026-07-14 13:44:34.431088+00	-23.010000000000048	274	274	closed	[{"pnl": -23.010000000000048, "time": "2026-07-14T13:44:34.430954+00:00", "price": 266.33, "reason": "stop_hit", "shares": 3.0, "source": "websocket", "attempt": 1}]
261	MANE	2026-07-15	magna53	119.34	118.02	118.75	118.02	8	2026-07-15 13:33:02.531345+00	2026-07-16 13:30:06.279318+00	-2.3999999999999773	129.80000000000001136868377216160297393798828125	119.340000000000003410605131648480892181396484375	closed	[{"pnl": -2.3999999999999773, "time": "2026-07-16T13:30:06.279232+00:00", "price": 119.04, "reason": "stop_hit", "shares": 8.0, "source": "websocket", "attempt": 1}]
266	HUT	2026-07-20	magna53	103.48	101.4482	103.48	101.4482	9	2026-07-20 13:31:06.601111+00	2026-07-20 13:31:57.29657+00	-19.530000000000015	103.4800000000000039790393202565610408782958984375	103.4800000000000039790393202565610408782958984375	closed	[{"pnl": -19.530000000000015, "time": "2026-07-20T13:31:57.296402+00:00", "price": 101.31, "reason": "stop_hit", "shares": 9.0, "source": "websocket", "attempt": 1}]
271	SMCI	2026-07-22	magna53	29.47	28.5	29.48	28.5	22	2026-07-22 13:33:30.889226+00		0	32.58500000000000085265128291212022304534912109375	29.27499999999999857891452847979962825775146484375	filled	[]
273	NVCR	2026-07-23	magna53	19.15	18	19.05	18	21	2026-07-23 13:32:30.201565+00	2026-07-24 19:36:57.558497+00	-24.133199999999935	21.45060000000000144382283906452357769012451171875	18.059999999999998721023075631819665431976318359375	closed	[{"pnl": -24.133199999999935, "time": "2026-07-24T19:36:57.558381+00:00", "price": 18.0008, "reason": "stop_hit", "shares": 21.0, "source": "websocket", "attempt": 1}]
275	THC	2026-07-24	magna53	241.67	233.58	240.47	233.58	2	2026-07-24 13:31:22.148201+00	2026-07-24 16:43:37.73624+00	-16.279999999999973	246.81499999999999772626324556767940521240234375	235.501628000000010842995834536850452423095703125	closed	[{"pnl": -16.279999999999973, "time": "2026-07-24T16:43:37.736066+00:00", "price": 233.53, "reason": "stop_hit", "shares": 2.0, "source": "websocket", "attempt": 1}]
276	WKC	2026-07-24	magna53	40.16	39	39.995	39	20	2026-07-24 13:33:18.540694+00	2026-07-24 16:02:39.726184+00	-23.799999999999955	41.2000000000000028421709430404007434844970703125	39.32000000000000028421709430404007434844970703125	closed	[{"pnl": -23.799999999999955, "time": "2026-07-24T16:02:39.726060+00:00", "price": 38.97, "reason": "stop_hit", "shares": 20.0, "source": "websocket", "attempt": 1}]
