2026-04-13|ALMU|580240.150000000000
2026-04-13|ANL|330589.600000000000
2026-04-13|BBGI|3353226.100000000000
2026-04-13|BBOT|207419.700000000000
2026-04-13|BJRI|384386.300000000000
2026-04-13|BWET|157058.150000000000
2026-04-13|CRDO|6474318.850000000000
2026-04-13|CRDU|1767726.350000000000
2026-04-13|CRWU|1831742.400000000000
2026-04-13|CWVX|1754683.650000000000
2026-04-13|CYD|131325.200000000000
2026-04-13|ERAS|5488250.750000000000
2026-04-13|FLXS|35834.250000000000
2026-04-13|GPRE|1561816.700000000000
2026-04-13|IDYA|1059641.250000000000
2026-04-13|IVT|438365.600000000000
2026-04-13|KGEI|206682.200000000000
2026-04-13|LABX|1682294.250000000000
2026-04-13|LEG|1206548.750000000000
2026-04-13|LWLG|6012654.700000000000
2026-04-13|MRVU|45557.450000000000
2026-04-13|MVLL|1309934.600000000000
2026-04-13|NETG|90480.650000000000
2026-04-13|OPTX|657776.600000000000
2026-04-13|RVMD|1782471.550000000000
2026-04-13|SCLX|30972.500000000000
2026-04-13|SDRL|752087.800000000000
2026-04-13|SGML|4240996.750000000000
2026-04-13|SKYQ|18942150.700000000000
2026-04-13|STK|41163.850000000000
2026-04-13|SYRE|819499.400000000000
2026-04-13|TBRG|164299.450000000000
2026-04-13|TLX|223518.100000000000
2026-04-13|TNGX|3038017.750000000000
2026-04-13|TRT|64983.800000000000
2026-04-13|UONE|68546.300000000000
2026-04-13|WTIU|178412.850000000000
2026-04-13|XNDU|854297.600000000000
2026-04-14|AAL|57716556.450000000000
2026-04-14|AALG|71897.900000000000
2026-04-14|AAOX|1682187.428571428571
2026-04-14|ACET|124802.150000000000
2026-04-14|ALMU|1222680.250000000000
2026-04-14|ALSN|752086.750000000000
2026-04-14|AOSL|248836.600000000000
2026-04-14|APLX|1893843.700000000000
2026-04-14|APPX|636912.000000000000
2026-04-14|ARQQ|172063.450000000000
2026-04-14|ASST|3416500.600000000000
2026-04-14|ASTN|1175806.100000000000
2026-04-14|ASTX|1966999.650000000000
2026-04-14|AVNS|466651.050000000000
2026-04-14|BE|9550800.750000000000
2026-04-14|BEG|52531.050000000000
2026-04-14|BEX|974576.700000000000
2026-04-14|BKKT|1236922.000000000000
2026-04-14|BMM|99336.250000000000
2026-04-14|BNAI|457019.750000000000
2026-04-14|CHPT|445255.550000000000
2026-04-14|CIFU|215054.650000000000
2026-04-14|CLSK|19464530.050000000000
2026-04-14|CLSX|468118.250000000000
2026-04-14|COIA|45752.150000000000
2026-04-14|COIG|91538.550000000000
2026-04-14|CONX|56522.150000000000
2026-04-14|CRDO|6728616.900000000000
2026-04-14|CRDU|1942893.950000000000
2026-04-14|CRMU|42592.900000000000
2026-04-14|CRMX|191937.350000000000
2026-04-14|CRWU|1889389.000000000000
2026-04-14|CVNX|74540.350000000000
2026-04-14|CWVX|1828941.050000000000
2026-04-14|ETHT|2086733.150000000000
2026-04-14|ETHU|6382552.200000000000
2026-04-14|ETU|161612.050000000000
