LMND|2026-03-17|8.11|62.43|67.80|57.74|66.87|5.77|390.3|0.63|0|0||0|||||
OKLO|2026-03-17|8.83|64.96|65.97|59.69|60.53|6.38|1157.9|1.58|0|0||0|||||
AAOI|2026-03-18|10.44|95.34|100.07|86.33|92.63|12.34|1420.1|5.67|0|0||0|||||
BATL|2026-03-18|14.56|12.98|14.47|11.33|11.93|31.43|245.6|0.43|0|0||0|||high_unentered|high_unentered|<null>
KC|2026-03-18|15.70|15.18|15.41|13.12|14.78|4.50|70.2|4.86|0|0||0|||high_unentered|high_unentered|<null>
LITE|2026-03-18|9.17|709.15|743.86|649.56|700.81|9.84|6753.3|3.76|0|0||0|||||
SWMR|2026-03-18|29.03|40.00|65.04|31.00|55.00|92.74|1213.5|0.27|0|0||0|||||
BATL|2026-03-19|12.95|13.48|13.54|11.93|13.01|30.91|116.9|0.00|0|0||0|||||
DLO|2026-03-19|8.65|12.44|13.37|11.45|12.53|4.45|81.7|2.62|0|0||0|||||
CDNL|2026-03-20|9.25|36.25|36.25|33.18|33.03|8.94|82.0|7.29|0|0||0|||||
FLY|2026-03-20|11.28|25.55|27.17|22.96|23.22|8.47|371.4|11.74|1|0||0|||high_unentered|high_unentered|<null>
NSP|2026-03-20|9.11|24.79|25.65|22.72|24.47|7.58|87.8|3.99|0|0||0|||||
PL|2026-03-20|24.44|33.55|36.28|26.96|33.83|8.85|2155.1|2.14|0|0||0|||high_unentered|high_unentered|<null>
SCHL|2026-03-20|10.28|37.76|38.94|34.24|37.25|3.63|87.7|2.14|0|0||0|||high_unentered|high_unentered|<null>
YSS|2026-03-20|12.50|19.89|23.75|17.68|21.07|7.08|183.2|12.73|1|0||0|||high_unentered|high_unentered|<null>
APGE|2026-03-23|17.08|77.32|81.46|66.04|79.24|5.50|276.2|3.69|0|0||0|||||
INSM|2026-03-23|8.18|147.12|149.76|136.00|143.98|3.10|587.3|4.98|0|0||0|||||
ARM|2026-03-25|9.85|148.26|166.69|134.96|157.07|4.40|4608.1|7.77|0|0||0|||||
AUGO|2026-03-25|8.08|71.79|73.00|66.42|71.49|5.86|91.4|9.27|1|0||0|||||
BRZE|2026-03-25|25.08|22.54|22.68|18.02|21.60|5.64|253.7|2.58|0|0||0|||||
CIFR|2026-03-25|8.03|16.08|16.67|14.88|15.88|7.37|650.1|3.73|0|0||0|||||
DXYZ|2026-03-25|27.94|33.93|34.00|26.52|30.58|3.94|426.6|2.01|0|0||0|||moderate_alert|moderate_tier|<null>
ELVN|2026-03-25|8.36|33.76|36.73|31.15|35.53|6.75|228.4|5.42|0|0||0|||||
HYMC|2026-03-25|9.45|36.36|36.97|33.22|34.47|10.30|106.9|3.19|0|0||0|||||
SRPT|2026-03-25|12.21|19.76|23.85|17.61|23.77|4.95|403.7|0.06|0|0||0|||||
