AEHR|2026-02-11||high_unentered|80|18.542676108833405|unknown|-0.1230938531677409|-0.04826285175286905|0.18377613582770003|0.1787454802703978|0.476182990095897
BETA|2026-02-11||high_unentered|80|19.141323792486588|unknown|-0.10760760760760771|-0.020520520520520526|-0.14364364364364368|0.04604104104104096|0.12411911911911915
DIOD|2026-02-11||high_unentered|80|16.758508914100492|unknown|0.0005552470849526935|-0.06662965019433663|-0.14422543031649093|0.13422959466962794|0.13422959466962794
EOSU|2026-02-11||high_unentered|80|12.595419847328253|unknown|-0.32354048964218457|-0.24185310734463272|-0.8870056497175142|0|0
MNTN|2026-02-11||high_unentered|80|41.45141451414513|unknown|-0.0478260869565218|-0.10956521739130433|-0.1469565217391304|0.021739130434782608|0.021739130434782608
TDC|2026-02-11||high_unentered|80|32.32979815258296|unknown|-0.1328852119958635|-0.1695966907962772|-0.30816959669079624|0.08014219234746635|0.08014219234746635
VRT|2026-02-11||high_unentered|80|16.847009317703634|unknown|0.013976420150053551|0.04205787781350483|0.13774919614147907|0.0955627009646302|0.18662379421221853
VRTL|2026-02-11||high_unentered|80|33.59972202918693|unknown|0.0014044213263979726|0.057737321196358875|0.23089726918075415|0.17191157347204167|0.3253576072821847
XTKG|2026-02-11||high_unentered|80|15.549076773566567|unknown|-0.20227081581160644|-0.5685449957947857|-0.8247827305859265|0.019764507989907486|0.019764507989907486
BBIO|2026-02-12||high_unentered|80|15.702986499386338|unknown|-0.1130885732806883|-0.19688844363250632|-0.18191997171312396|0.0011196888443632373|0.0011196888443632373
CGNX|2026-02-12||high_unentered|80|31.303741575644896|unknown|0.04053097345132742|-0.00831858407079644|-0.1507964601769912|0.05982300884955757|0.05982300884955757
CROX|2026-02-12||high_unentered|80|16.644506225069495|unknown|0.003937823834196844|0.036683937823834264|-0.19222797927461138|0.05269430051813465|0.05269430051813465
EQIX|2026-02-12||high_unentered|80|10.249907783105874|unknown|-0.0002613859729831458|-0.02962025845845013|0.01407302078541249|0.038120530299861906|0.038120530299861906
FSLY|2026-02-12||high_unentered|80|44.897959183673464|unknown|0.3535952557449964|0.34025203854707176|0.822090437361008|0.5025945144551519|0.9117865085248331
ISSC|2026-02-12||high_unentered|80|20.65331928345626|unknown|-0.13406113537117906|0.06200873362445423|0.21004366812227085|0.0903930131004367|0.3510917030567687
MH|2026-02-12||high_unentered|80|21.150729335494322|unknown|-0.08561872909698993|-0.08294314381270892|-0.0909698996655518|0.06354515050167231|0.06354515050167231
NVCR|2026-02-12||high_unentered|80|37.142857142857146|unknown|-0.23680555555555555|-0.21111111111111117|-0.16249999999999998|0.03958333333333335|0.07361111111111114
RWT|2026-02-12||high_unentered|80|11.010830324909753|unknown|0.07154471544715439|0.001626016260162567|-0.052032520325203294|0.13333333333333322|0.13333333333333322
SPHR|2026-02-12||high_unentered|80|14.514767932489459|unknown|0.06577008106116433|0.05232129697862926|-0.026344878408253496|0.08824152542372878|0.12315770081061168
VKTX|2026-02-12||high_unentered|80|18.19614711033274|unknown|-0.14061342421099415|-0.08045636390576372|0.05586012742628553|0.0188176026077939|0.11127574455474894
BROS|2026-02-13||high_unentered|80|17.079889807162534|unknown|-0.09899159663865548|-0.20537815126050418|-0.15546218487394958|0.005546218487394929|0.005546218487394929
COIW|2026-02-13||high_unentered|80|10.295519542421355|unknown|0.0993949870354365|0.040622299049265245|0.31114952463267065|0.16508210890233363|0.43388072601555744
CRSR|2026-02-13||high_unentered|80|41.48471615720525|unknown|-0.14274691358024702|-0.16666666666666666|-0.1851851851851852|0.18518518518518506|0.18518518518518506
RIVN|2026-02-13||high_unentered|80|26.928571428571423|unknown|-0.07315700619020826|-0.1581316826111423|-0.13731007315700616|0.039954980303882996|0.039954980303882996
SEI|2026-02-13||high_unentered|80|15.737322712259571|unknown|-0.11801242236024846|-0.14940406244754068|-0.04331039113647806|0.03004868222259525|0.03004868222259525
TPH|2026-02-13||high_unentered|80|26.688542521192225|unknown|-0.0006475285991798217|0|0.0004316857327865989|0.0062594431254046875|0.0062594431254046875
CMPS|2026-02-17||high_unentered|80|34.76764199655767|unknown|0.07918263090676873|0.020434227330779074|-0.22605363984674334|0.13665389527458496|0.13665389527458496
ETOR|2026-02-17||high_unentered|80|14.384559359067731|unknown|0.013689907672715686|-0.02133078637376637|-0.008595988538681935|0.07863737663164605|0.07863737663164605
MASI|2026-02-17||high_unentered|80|34.460238186707635|unknown|0.0034857142857143636|0.0019999999999999675|0.005542857142857137|0.0051428571428571756|0.006799999999999987
ZIM|2026-02-17||high_unentered|80|35|unknown|-0.03136469803136462|-0.029696363029696384|-0.08541875208541871|0|0
MCW|2026-02-18||high_unentered|80|15.973377703826955|unknown|0|0.005738880918220952|-0.0014347202295552062|0.018651362984218062|0.024390243902439015
MSGS|2026-02-18||high_unentered|80|10.215126965756706|unknown|0.014670002161895054|-0.024923561567682734|-0.02927823589363482|0.066926094073319|0.066926094073319
PBI|2026-02-18||high_unentered|80|10.205078124999998|unknown|-0.05804164820558257|-0.05538325210456358|-0.131590607000443|0.029242357111209576|0.029242357111209576
TCMD|2026-02-18||high_unentered|80|27.415329768270947|unknown|-0.2095691102406268|-0.17151650811415786|-0.24370453273642978|0.05679910464465587|0.05679910464465587
BAND|2026-02-19||high_unentered|80|17.321016166281755|unknown|-0.007874015748031562|-0.028215223097112843|0.011154855643044614|0.08792650918635157|0.11745406824146988
HLF|2026-02-19||high_unentered|80|14.752116082224918|unknown|0.051633298208640696|0.01580611169652269|-0.21548998946259218|0.07481559536354047|0.07481559536354047
LMND|2026-02-19||high_unentered|80|12.581773923626951|unknown|-0.2255405405405405|-0.2544594594594594|-0.12783783783783775|0.011486486486486409|0.011486486486486409
RELY|2026-02-19||high_unentered|80|20.132255694342412|unknown|0.04892966360856251|0.02996941896024455|-0.04036697247706433|0.09349235474006098|0.10183486238532104
ANPA|2026-02-20||high_unentered|80|16.085790884718506|unknown|-0.37028483448806776|-0.2001539645881447|-0.34411085450346424|0.2578906851424172|0.2578906851424172
HLIT|2026-02-20||high_unentered|80|11.835973904939417|unknown|-0.14250000000000007|-0.1141666666666666|-0.25|0.014999999999999977|0.014999999999999977
RNG|2026-02-20||high_unentered|80|16.91051378019734|unknown|0.006402793946449326|0.060826542491269016|0.09516880093131558|0.18277066356228175|0.2345750873108266
TNDM|2026-02-20||high_unentered|80|22.829373650108|unknown|0.24230701600140672|0.11218568665377174|0.09108493054334443|0.30341128890451896|0.30341128890451896
ACLX|2026-02-23||high_unentered|80|78.03774762127593|unknown|-0.0034168564920273397|-0.0007885053443140302|0.004030138426493725|0.0010513404590853737|0.006746101279130857
EHAB|2026-02-23||high_unentered|80|22.452660054102797|unknown|-0.0014727540500736062|0|0.0029455081001472125|0.0044182621502209495|0.006995581737849826
LEGN|2026-02-23||high_unentered|80|16.280353200882995|unknown|-0.07451352634076888|-0.12482202183198857|-0.18224964404366398|0.024205030849549027|0.024205030849549027
TIRX|2026-02-23||high_unentered|80|161.36363636363635|unknown|-0.391304347826087|-0.4973913043478261||0.0060869565217391555|0.0060869565217391555
VNDA|2026-02-23||high_unentered|80|39.67013888888889|unknown|0.015537600994406464|0.015537600994406464|-0.12989434431323804|0.12989434431323804|0.23555003107520195
VRE|2026-02-23||high_unentered|80|12.64162194394753|unknown|-0.0031762837480149428|-0.002117522498676503|0.002117522498676503|0|0.004235044997353006
AMDG|2026-02-24||high_unentered|80|15.000000000000005|unknown|-0.006887645286267763|-0.1880542402066294|-0.0774860094705123|0.049504950495049445|0.049504950495049445
AMDL|2026-02-24||high_unentered|80|15.159128978224459|unknown|-0.007999999999999959|-0.19127272727272732|-0.07999999999999997|0.046545454545454584|0.046545454545454584
AMUU|2026-02-24||high_unentered|80|15.229335881509796|unknown|-0.008075049238105073|-0.19013786669430915|-0.08551881413911061|0.04364051000310986|0.04364051000310986
KEYS|2026-02-24||high_unentered|80|13.35510204081634|unknown|0.08807431945844728|0.08937058908252914|0.0751116232176291|0.14143741898314838|0.14143741898314838
PVLA|2026-02-24||high_unentered|80|28.64298724954462|unknown|0.13805309734513269|0.16380530973451318|0.028584070796460213|0.33787610619469033|0.33787610619469033
THR|2026-02-24||high_unentered|80|17.560779586096032|unknown|-0.08477183387455138|-0.20492223551529645|-0.11587762775593918|0.0008545547769612761|0.0008545547769612761
