ticker|ep_date|fire_date|mon|rung|variant|entry|stop|stop_w|mature|derived_touch|pre_fire_hole|status|reason|outcome|realized_r|outcome_trail|realized_r_trail|mfe_r|mae_r|reached_4r
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_reclaim|adr_100|10.0802|8.957160532776193|11.14104350334127|True|False|False|settled||stop|-1.0|trail_exit|0.4629|1.7584|-1.7633|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_reclaim|adr_125|10.0802|8.676400665970242|13.926304379176582|True|False|False|settled||stop|-1.0|trail_exit|0.3703|1.4068|-1.4106|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_reclaim|adr_150|10.0802|8.39564079916429|16.711565255011894|True|False|False|settled||stop|-1.0|trail_exit|0.3086|1.1723|-1.1755|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_reclaim|adr_200|10.0802|7.834121065552387|22.28208700668253|True|False|False|settled||stop|-1.0|trail_exit|0.2314|0.8792|-1.1131|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_reclaim|ep_close|10.0802|10.075|0.05158627805004182|True|False|False|settled||stop|-1.0|stop|-1.0|65.3462|-40.4231|True
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_reclaim|ep_low|10.0802|8.67|13.989801789647027|True|False|False|settled||stop|-1.0|trail_exit|0.3686|1.4004|-1.4042|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|incumbent|9.665|9.32|3.5695809622348564|True|False|False|settled||stop|-1.0|trail_exit|2.7101|6.9275|-4.5362|True
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|bar_low|9.665|9.4|2.741852043455756|True|False|False|settled||stop|-1.0|trail_exit|3.5283|9.0189|-5.9057|True
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|lod_fire|9.665|9.32|3.5695809622348564|True|False|False|settled||stop|-1.0|trail_exit|2.7101|6.9275|-4.5362|True
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|prior_low|9.665|8.67|10.294878427315048|True|False|False|settled||stop|-1.0|trail_exit|0.9397|2.402|-1.5729|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|adr_025|9.665|9.384240133194048|2.9049132623481766|True|False|False|settled||stop|-1.0|trail_exit|3.3302|8.5126|-5.5742|True
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|adr_050|9.665|9.103480266388097|5.809826524696353|True|False|False|settled||stop|-1.0|trail_exit|1.6651|4.2563|-2.7871|True
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|adr_075|9.665|8.822720399582144|8.714739787044548|True|False|False|settled||stop|-1.0|trail_exit|1.1101|2.8375|-1.8581|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|adr_100|9.665|8.541960532776192|11.619653049392724|True|False|False|settled||stop|-1.0|trail_exit|0.8326|2.1282|-1.3935|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|adr_125|9.665|8.261200665970241|14.5245663117409|True|False|False|settled||stop|-1.0|trail_exit|0.666|1.7025|-1.1148|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|adr_150|9.665|7.98044079916429|17.429479574089076|True|False|False|settled||stop|-1.0|trail_exit|0.555|1.4188|-1.2377|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|adr_200|9.665|7.418921065552387|23.23930609878544|True|False|False|settled||time_exit|-0.9372|trail_exit|0.4163|1.0641|-0.9594|False
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|ep_close|9.665|10.075|-4.242110708742889|True|False|False|killed_entry_le_stop||||||||
ABSI|2026-06-24|2026-06-25|2026-06|ep_close_620_prox|ep_low|9.665|8.67|10.294878427315048|True|False|False|settled||stop|-1.0|trail_exit|0.9397|2.402|-1.5729|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|incumbent|8.725|8.63|1.0888252148997004|True|False|False|settled||stop|-1.0|stop|-1.0|-0.0526|-1.6842|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|bar_low|8.725|8.635|1.0315186246418322|True|False|False|settled||stop|-1.0|stop|-1.0|-0.0556|-1.7778|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|lod_fire|8.725|8.63|1.0888252148997004|True|False|False|settled||stop|-1.0|stop|-1.0|-0.0526|-1.6842|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|prior_low|8.725|9.69|-11.060171919770772|True|False|False|killed_entry_le_stop||||||||
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|adr_025|8.725|8.444240133194048|3.217878129581103|True|False|False|settled||stop|-1.0|stop|-1.0|-0.0178|-1.2288|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|adr_050|8.725|8.163480266388097|6.435756259162206|True|False|False|settled||stop|-1.0|stop|-1.0|-0.0089|-1.0596|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|adr_075|8.725|7.882720399582145|9.653634388743319|True|False|False|settled||stop|-1.0|trail_exit|-0.5877|1.0507|-1.3594|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|adr_100|8.725|7.601960532776193|12.871512518324431|True|False|False|settled||stop|-1.0|trail_exit|-0.4408|0.788|-1.0196|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|adr_125|8.725|7.321200665970242|16.089390647905535|True|False|False|settled||stop|-1.0|trail_exit|-0.3526|0.6304|-1.3356|False
ABSI|2026-06-24|2026-07-16|2026-06|ep_low_reclaim|adr_150|8.725|7.0404407991642906|19.307268777486637|True|False|False|settled||stop|-1.0|trail_exit|-0.2938|0.5254|-1.113|False
